"Term"	"Ont"	"N"	"DE"	"P.DE"
"GO:0006323"	"DNA packaging"	"BP"	134	55	3.26168281947271e-12
"GO:0000725"	"recombinational repair"	"BP"	121	51	6.02863474182651e-12
"GO:0061641"	"CENP-A containing chromatin organization"	"BP"	33	23	8.26206156427819e-12
"GO:0034080"	"CENP-A containing nucleosome assembly"	"BP"	33	23	8.26206156427819e-12
"GO:0000724"	"double-strand break repair via homologous recombination"	"BP"	120	50	1.61982325461307e-11
"GO:0006281"	"DNA repair"	"BP"	492	136	1.99227389970151e-11
"GO:0006259"	"DNA metabolic process"	"BP"	861	211	1.99479105500207e-11
"GO:0044843"	"cell cycle G1/S phase transition"	"BP"	232	78	2.29681863829812e-11
"GO:0034508"	"centromere complex assembly"	"BP"	45	27	2.56200717385939e-11
"GO:0061982"	"meiosis I cell cycle process"	"BP"	70	35	3.83165017847838e-11
"GO:0006270"	"DNA replication initiation"	"BP"	35	23	5.35925806235034e-11
"GO:0000082"	"G1/S transition of mitotic cell cycle"	"BP"	219	74	5.72462865813553e-11
"GO:0022616"	"DNA strand elongation"	"BP"	26	19	1.52208310520699e-10
"GO:0007346"	"regulation of mitotic cell cycle"	"BP"	549	145	1.55141854966039e-10
"GO:0010564"	"regulation of cell cycle process"	"BP"	648	165	1.74528978014915e-10
"GO:0051726"	"regulation of cell cycle"	"BP"	1011	236	1.9486915964526e-10
"GO:0051276"	"chromosome organization"	"BP"	1019	237	2.56934828893046e-10
"GO:0006336"	"DNA replication-independent nucleosome assembly"	"BP"	43	25	3.63790675284305e-10
"GO:0034724"	"DNA replication-independent nucleosome organization"	"BP"	44	25	7.14460599383638e-10
"GO:0043486"	"histone exchange"	"BP"	44	25	7.14460599383638e-10
"GO:0007127"	"meiosis I"	"BP"	66	32	7.22879407794935e-10
"GO:0000226"	"microtubule cytoskeleton organization"	"BP"	445	120	1.64156910746631e-09
"GO:0000075"	"cell cycle checkpoint"	"BP"	204	67	1.78873385517986e-09
"GO:0006334"	"nucleosome assembly"	"BP"	82	36	2.00707374158206e-09
"GO:0051983"	"regulation of chromosome segregation"	"BP"	93	39	2.18219258809012e-09
"GO:0007088"	"regulation of mitotic nuclear division"	"BP"	147	53	2.29619463023717e-09
"GO:0032501"	"multicellular organismal process"	"BP"	4322	809	3.34107447571712e-09
"GO:0051304"	"chromosome separation"	"BP"	77	34	4.67830854300103e-09
"GO:0007093"	"mitotic cell cycle checkpoint"	"BP"	154	54	5.09802917606152e-09
"GO:1901987"	"regulation of cell cycle phase transition"	"BP"	397	108	6.48944015634895e-09
"GO:0006974"	"cellular response to DNA damage stimulus"	"BP"	761	181	7.12301861746338e-09
"GO:0090068"	"positive regulation of cell cycle process"	"BP"	233	72	8.64065969732536e-09
"GO:0045132"	"meiotic chromosome segregation"	"BP"	55	27	1.09527572257922e-08
"GO:0000003"	"reproduction"	"BP"	849	197	1.18562700823151e-08
"GO:0008202"	"steroid metabolic process"	"BP"	226	70	1.24754786260272e-08
"GO:1901990"	"regulation of mitotic cell cycle phase transition"	"BP"	373	102	1.27970905157737e-08
"GO:0016125"	"sterol metabolic process"	"BP"	122	45	1.64324099725766e-08
"GO:1902850"	"microtubule cytoskeleton organization involved in mitosis"	"BP"	126	46	1.65597038663514e-08
"GO:0022414"	"reproductive process"	"BP"	848	196	1.78489005326885e-08
"GO:0051306"	"mitotic sister chromatid separation"	"BP"	56	27	1.79350879246074e-08
"GO:0031497"	"chromatin assembly"	"BP"	99	39	1.80127643263893e-08
"GO:0010965"	"regulation of mitotic sister chromatid separation"	"BP"	53	26	2.08555414785982e-08
"GO:0065004"	"protein-DNA complex assembly"	"BP"	179	58	3.75486873809016e-08
"GO:0051783"	"regulation of nuclear division"	"BP"	158	53	3.95140347044139e-08
"GO:0090329"	"regulation of DNA-dependent DNA replication"	"BP"	51	25	3.9727705800876e-08
"GO:0032201"	"telomere maintenance via semi-conservative replication"	"BP"	27	17	4.77027381470865e-08
"GO:1901615"	"organic hydroxy compound metabolic process"	"BP"	363	98	4.9316186203398e-08
"GO:0007051"	"spindle organization"	"BP"	155	52	5.26999030259029e-08
"GO:1905819"	"negative regulation of chromosome separation"	"BP"	36	20	6.15965367734614e-08
"GO:2000816"	"negative regulation of mitotic sister chromatid separation"	"BP"	36	20	6.15965367734614e-08
"GO:1902969"	"mitotic DNA replication"	"BP"	15	12	7.88802041486783e-08
"GO:1905818"	"regulation of chromosome separation"	"BP"	56	26	8.69021447713203e-08
"GO:1902652"	"secondary alcohol metabolic process"	"BP"	116	42	9.01476558339927e-08
"GO:0033045"	"regulation of sister chromatid segregation"	"BP"	74	31	9.83852138734002e-08
"GO:0000727"	"double-strand break repair via break-induced replication"	"BP"	11	10	1.03170773163801e-07
"GO:0007052"	"mitotic spindle organization"	"BP"	102	38	1.55620493465319e-07
"GO:0051985"	"negative regulation of chromosome segregation"	"BP"	41	21	1.86419663755359e-07
"GO:0033046"	"negative regulation of sister chromatid segregation"	"BP"	41	21	1.86419663755359e-07
"GO:0044784"	"metaphase/anaphase transition of cell cycle"	"BP"	51	24	1.98081314163288e-07
"GO:0007091"	"metaphase/anaphase transition of mitotic cell cycle"	"BP"	51	24	1.98081314163288e-07
"GO:0045005"	"DNA-dependent DNA replication maintenance of fidelity"	"BP"	38	20	2.04269747379985e-07
"GO:1902099"	"regulation of metaphase/anaphase transition of cell cycle"	"BP"	48	23	2.35295663983859e-07
"GO:0030071"	"regulation of mitotic metaphase/anaphase transition"	"BP"	48	23	2.35295663983859e-07
"GO:0045787"	"positive regulation of cell cycle"	"BP"	307	84	2.39450999960305e-07
"GO:0008203"	"cholesterol metabolic process"	"BP"	112	40	2.76745377098128e-07
"GO:0007010"	"cytoskeleton organization"	"BP"	1004	219	3.40096341051994e-07
"GO:0044839"	"cell cycle G2/M phase transition"	"BP"	244	70	3.53810415829543e-07
"GO:0033048"	"negative regulation of mitotic sister chromatid segregation"	"BP"	39	20	3.56253874212807e-07
"GO:0006275"	"regulation of DNA replication"	"BP"	97	36	3.65622451854051e-07
"GO:1901989"	"positive regulation of cell cycle phase transition"	"BP"	78	31	4.06347627557082e-07
"GO:0000086"	"G2/M transition of mitotic cell cycle"	"BP"	227	66	4.47158897512856e-07
"GO:0033047"	"regulation of mitotic sister chromatid segregation"	"BP"	64	27	5.50708536624165e-07
"GO:1901992"	"positive regulation of mitotic cell cycle phase transition"	"BP"	68	28	6.22173824685992e-07
"GO:0045786"	"negative regulation of cell cycle"	"BP"	537	129	6.41679442279823e-07
"GO:1902100"	"negative regulation of metaphase/anaphase transition of cell cycle"	"BP"	34	18	7.4505283205636e-07
"GO:0045841"	"negative regulation of mitotic metaphase/anaphase transition"	"BP"	34	18	7.4505283205636e-07
"GO:0046394"	"carboxylic acid biosynthetic process"	"BP"	330	87	8.37193505793373e-07
"GO:0016053"	"organic acid biosynthetic process"	"BP"	331	87	9.60783349168601e-07
"GO:0045839"	"negative regulation of mitotic nuclear division"	"BP"	48	22	1.1222401755287e-06
"GO:0016126"	"sterol biosynthetic process"	"BP"	66	27	1.14741146571412e-06
"GO:0070192"	"chromosome organization involved in meiotic cell cycle"	"BP"	38	19	1.15851294370894e-06
"GO:0071824"	"protein-DNA complex subunit organization"	"BP"	210	61	1.24943529841998e-06
"GO:0032502"	"developmental process"	"BP"	3930	721	1.58612003920672e-06
"GO:0044283"	"small molecule biosynthetic process"	"BP"	603	140	1.65932135213343e-06
"GO:0034728"	"nucleosome organization"	"BP"	112	38	2.33589818450909e-06
"GO:0045931"	"positive regulation of mitotic cell cycle"	"BP"	129	42	2.39331332708521e-06
"GO:0051383"	"kinetochore organization"	"BP"	21	13	2.52742668278467e-06
"GO:0048856"	"anatomical structure development"	"BP"	3654	673	2.56743012151233e-06
"GO:0007017"	"microtubule-based process"	"BP"	608	140	2.67400918769367e-06
"GO:0006333"	"chromatin assembly or disassembly"	"BP"	121	40	2.69211577091679e-06
"GO:0003008"	"system process"	"BP"	903	195	3.18251161134204e-06
"GO:0006066"	"alcohol metabolic process"	"BP"	263	71	3.40670497483856e-06
"GO:1902653"	"secondary alcohol biosynthetic process"	"BP"	62	25	3.88371507476393e-06
"GO:0006694"	"steroid biosynthetic process"	"BP"	136	43	4.31245989420708e-06
"GO:1901617"	"organic hydroxy compound biosynthetic process"	"BP"	181	53	4.70516633797792e-06
"GO:0032392"	"DNA geometric change"	"BP"	115	38	4.79766276308633e-06
"GO:0051784"	"negative regulation of nuclear division"	"BP"	52	22	5.77303771830755e-06
"GO:0035825"	"homologous recombination"	"BP"	38	18	5.94142419537058e-06
"GO:0031570"	"DNA integrity checkpoint"	"BP"	151	46	6.22730271061509e-06
"GO:0072330"	"monocarboxylic acid biosynthetic process"	"BP"	239	65	6.6895640095609e-06
"GO:0048731"	"system development"	"BP"	2970	554	6.94580793826702e-06
"GO:1902749"	"regulation of cell cycle G2/M phase transition"	"BP"	193	55	7.6796633722932e-06
"GO:0007094"	"mitotic spindle assembly checkpoint"	"BP"	32	16	8.17136762858899e-06
"GO:0071174"	"mitotic spindle checkpoint"	"BP"	32	16	8.17136762858899e-06
"GO:0071173"	"spindle assembly checkpoint"	"BP"	32	16	8.17136762858899e-06
"GO:0031577"	"spindle checkpoint"	"BP"	32	16	8.17136762858899e-06
"GO:0051225"	"spindle assembly"	"BP"	97	33	9.91106371058423e-06
"GO:0006695"	"cholesterol biosynthetic process"	"BP"	61	24	9.97719125158109e-06
"GO:0007275"	"multicellular organism development"	"BP"	3326	612	1.11815894873548e-05
"GO:0050896"	"response to stimulus"	"BP"	5618	989	1.22936236112919e-05
"GO:0010389"	"regulation of G2/M transition of mitotic cell cycle"	"BP"	178	51	1.37801386537837e-05
"GO:0000076"	"DNA replication checkpoint"	"BP"	15	10	1.50795080341317e-05
"GO:0009888"	"tissue development"	"BP"	1263	256	1.53052231253998e-05
"GO:0010032"	"meiotic chromosome condensation"	"BP"	6	6	1.68353258753632e-05
"GO:0090307"	"mitotic spindle assembly"	"BP"	55	22	1.70310110086137e-05
"GO:0007131"	"reciprocal meiotic recombination"	"BP"	37	17	1.78880438263173e-05
"GO:0007098"	"centrosome cycle"	"BP"	114	36	2.60517850167037e-05
"GO:0021700"	"developmental maturation"	"BP"	173	49	2.8119921599491e-05
"GO:0032508"	"DNA duplex unwinding"	"BP"	106	34	3.01181472243197e-05
"GO:0048513"	"animal organ development"	"BP"	2154	409	3.2322275120402e-05
"GO:0048469"	"cell maturation"	"BP"	107	34	3.74394825807385e-05
"GO:0051302"	"regulation of cell division"	"BP"	116	36	3.95321771362565e-05
"GO:0042493"	"response to drug"	"BP"	672	146	4.19022629952312e-05
"GO:0031023"	"microtubule organizing center organization"	"BP"	121	37	4.44351195369124e-05
"GO:0032787"	"monocarboxylic acid metabolic process"	"BP"	473	108	5.36730668913329e-05
"GO:0036297"	"interstrand cross-link repair"	"BP"	51	20	5.71260091036052e-05
"GO:1902751"	"positive regulation of cell cycle G2/M phase transition"	"BP"	26	13	5.84424097008108e-05
"GO:0043044"	"ATP-dependent chromatin remodeling"	"BP"	71	25	6.02932156577464e-05
"GO:1904029"	"regulation of cyclin-dependent protein kinase activity"	"BP"	92	30	6.14195443559718e-05
"GO:0045930"	"negative regulation of mitotic cell cycle"	"BP"	280	70	6.2846591971664e-05
"GO:0006297"	"nucleotide-excision repair, DNA gap filling"	"BP"	23	12	6.61713169879211e-05
"GO:0019400"	"alditol metabolic process"	"BP"	17	10	7.15626239508067e-05
"GO:0007076"	"mitotic chromosome condensation"	"BP"	17	10	7.15626239508067e-05
"GO:0034501"	"protein localization to kinetochore"	"BP"	17	10	7.15626239508067e-05
"GO:0071466"	"cellular response to xenobiotic stimulus"	"BP"	115	35	7.85609895811269e-05
"GO:0008608"	"attachment of spindle microtubules to kinetochore"	"BP"	30	14	7.98574651806673e-05
"GO:0031297"	"replication fork processing"	"BP"	30	14	7.98574651806673e-05
"GO:0000079"	"regulation of cyclin-dependent protein serine/threonine kinase activity"	"BP"	89	29	8.21653370929191e-05
"GO:0046165"	"alcohol biosynthetic process"	"BP"	125	37	9.54629965758763e-05
"GO:1900264"	"positive regulation of DNA-directed DNA polymerase activity"	"BP"	7	6	0.000101698513521591
"GO:0036388"	"pre-replicative complex assembly"	"BP"	7	6	0.000101698513521591
"GO:1902299"	"pre-replicative complex assembly involved in cell cycle DNA replication"	"BP"	7	6	0.000101698513521591
"GO:0006267"	"pre-replicative complex assembly involved in nuclear cell cycle DNA replication"	"BP"	7	6	0.000101698513521591
"GO:1900262"	"regulation of DNA-directed DNA polymerase activity"	"BP"	7	6	0.000101698513521591
"GO:0019401"	"alditol biosynthetic process"	"BP"	5	5	0.000105264587237725
"GO:0009636"	"response to toxic substance"	"BP"	356	84	0.000110952359739274
"GO:0010971"	"positive regulation of G2/M transition of mitotic cell cycle"	"BP"	24	12	0.000113089732533182
"GO:0030261"	"chromosome condensation"	"BP"	38	16	0.000115593766340076
"GO:0006000"	"fructose metabolic process"	"BP"	12	8	0.00011561868699749
"GO:0010948"	"negative regulation of cell cycle process"	"BP"	301	73	0.00012471844763822
"GO:0007140"	"male meiotic nuclear division"	"BP"	21	11	0.000128249521148053
"GO:0071459"	"protein localization to chromosome, centromeric region"	"BP"	21	11	0.000128249521148053
"GO:0044774"	"mitotic DNA integrity checkpoint"	"BP"	100	31	0.000135400311336979
"GO:0010212"	"response to ionizing radiation"	"BP"	127	37	0.000137153874016978
"GO:0072001"	"renal system development"	"BP"	203	53	0.000146470256206363
"GO:0030154"	"cell differentiation"	"BP"	2510	463	0.000162223039463605
"GO:0060429"	"epithelium development"	"BP"	812	168	0.000170802233612326
"GO:1902806"	"regulation of cell cycle G1/S phase transition"	"BP"	147	41	0.000176841401703456
"GO:2000104"	"negative regulation of DNA-dependent DNA replication"	"BP"	25	12	0.000185881130281689
"GO:0000083"	"regulation of transcription involved in G1/S transition of mitotic cell cycle"	"BP"	25	12	0.000185881130281689
"GO:0006298"	"mismatch repair"	"BP"	32	14	0.000188511203478268
"GO:0000731"	"DNA synthesis involved in DNA repair"	"BP"	47	18	0.000189613104015011
"GO:0050877"	"nervous system process"	"BP"	473	105	0.000214389996931094
"GO:0097421"	"liver regeneration"	"BP"	22	11	0.000219456463064347
"GO:0045143"	"homologous chromosome segregation"	"BP"	29	13	0.000237455282744373
"GO:2000045"	"regulation of G1/S transition of mitotic cell cycle"	"BP"	135	38	0.000244886303160811
"GO:0009410"	"response to xenobiotic stimulus"	"BP"	183	48	0.000261869052208658
"GO:0048869"	"cellular developmental process"	"BP"	2654	485	0.000268758136160456
"GO:0051384"	"response to glucocorticoid"	"BP"	86	27	0.000284045070281899
"GO:0000022"	"mitotic spindle elongation"	"BP"	8	6	0.000351231345204872
"GO:0031960"	"response to corticosteroid"	"BP"	96	29	0.000358290932126394
"GO:0046942"	"carboxylic acid transport"	"BP"	210	53	0.000363660923222754
"GO:0015849"	"organic acid transport"	"BP"	210	53	0.000363660923222754
"GO:1901988"	"negative regulation of cell cycle phase transition"	"BP"	220	55	0.000367087545558447
"GO:0050679"	"positive regulation of epithelial cell proliferation"	"BP"	119	34	0.000375293783746243
"GO:0048646"	"anatomical structure formation involved in morphogenesis"	"BP"	698	145	0.000393697426351258
"GO:0016572"	"histone phosphorylation"	"BP"	34	14	0.000405589716882051
"GO:0010035"	"response to inorganic substance"	"BP"	380	86	0.000406243638490579
"GO:0071695"	"anatomical structure maturation"	"BP"	106	31	0.000429248220494889
"GO:0007062"	"sister chromatid cohesion"	"BP"	58	20	0.000439781741078575
"GO:0007077"	"mitotic nuclear envelope disassembly"	"BP"	11	7	0.000487442047495244
"GO:0006641"	"triglyceride metabolic process"	"BP"	67	22	0.000507237198616968
"GO:0098742"	"cell-cell adhesion via plasma-membrane adhesion molecules"	"BP"	107	31	0.000513130190829827
"GO:0006071"	"glycerol metabolic process"	"BP"	14	8	0.000517984350727998
"GO:0051782"	"negative regulation of cell division"	"BP"	14	8	0.000517984350727998
"GO:0048599"	"oocyte development"	"BP"	31	13	0.000526767926992693
"GO:0045003"	"double-strand break repair via synthesis-dependent strand annealing"	"BP"	6	5	0.000547410894049535
"GO:0051256"	"mitotic spindle midzone assembly"	"BP"	6	5	0.000547410894049535
"GO:0007143"	"female meiotic nuclear division"	"BP"	24	11	0.000568864713027745
"GO:0001655"	"urogenital system development"	"BP"	229	56	0.000586778969163655
"GO:0043062"	"extracellular structure organization"	"BP"	224	55	0.000588781835252089
"GO:0051781"	"positive regulation of cell division"	"BP"	51	18	0.00060983409022738
"GO:1902292"	"cell cycle DNA replication initiation"	"BP"	4	4	0.000657916112858386
"GO:0006114"	"glycerol biosynthetic process"	"BP"	4	4	0.000657916112858386
"GO:1902975"	"mitotic DNA replication initiation"	"BP"	4	4	0.000657916112858386
"GO:1902315"	"nuclear cell cycle DNA replication initiation"	"BP"	4	4	0.000657916112858386
"GO:0006633"	"fatty acid biosynthetic process"	"BP"	104	30	0.000678551116299505
"GO:0001556"	"oocyte maturation"	"BP"	21	10	0.000699190273722215
"GO:1901991"	"negative regulation of mitotic cell cycle phase transition"	"BP"	206	51	0.000748035755840066
"GO:0060249"	"anatomical structure homeostasis"	"BP"	319	73	0.000775282034365413
"GO:0006950"	"response to stress"	"BP"	2760	497	0.000875452083477677
"GO:0051231"	"spindle elongation"	"BP"	9	6	0.00091025538300995
"GO:0000077"	"DNA damage checkpoint"	"BP"	139	37	0.000939774172869758
"GO:0001822"	"kidney development"	"BP"	193	48	0.000947489388014625
"GO:0048468"	"cell development"	"BP"	1343	256	0.000958212425888264
"GO:0000723"	"telomere maintenance"	"BP"	144	38	0.000964472229623675
"GO:0009887"	"animal organ morphogenesis"	"BP"	668	137	0.000972165877092575
"GO:1902807"	"negative regulation of cell cycle G1/S phase transition"	"BP"	97	28	0.000996385289733828
"GO:0010038"	"response to metal ion"	"BP"	244	58	0.000997261701630655
"GO:0006335"	"DNA replication-dependent nucleosome assembly"	"BP"	12	7	0.0010079947521921
"GO:0034723"	"DNA replication-dependent nucleosome organization"	"BP"	12	7	0.0010079947521921
"GO:0007156"	"homophilic cell adhesion via plasma membrane adhesion molecules"	"BP"	53	18	0.00102578786942788
"GO:1901616"	"organic hydroxy compound catabolic process"	"BP"	53	18	0.00102578786942788
"GO:0060562"	"epithelial tube morphogenesis"	"BP"	229	55	0.00102954917800232
"GO:0006301"	"postreplication repair"	"BP"	49	17	0.0010699636646134
"GO:0015701"	"bicarbonate transport"	"BP"	22	10	0.00109896844927044
"GO:0097711"	"ciliary basal body-plasma membrane docking"	"BP"	93	27	0.00110564924390518
"GO:0008156"	"negative regulation of DNA replication"	"BP"	37	14	0.00110843399980782
"GO:0022412"	"cellular process involved in reproduction in multicellular organism"	"BP"	195	48	0.0012002787222127
"GO:0051716"	"cellular response to stimulus"	"BP"	4705	816	0.00120807763448262
"GO:0072395"	"signal transduction involved in cell cycle checkpoint"	"BP"	71	22	0.00121986582925019
"GO:0072422"	"signal transduction involved in DNA damage checkpoint"	"BP"	71	22	0.00121986582925019
"GO:0072401"	"signal transduction involved in DNA integrity checkpoint"	"BP"	71	22	0.00121986582925019
"GO:0072331"	"signal transduction by p53 class mediator"	"BP"	246	58	0.00122723055431737
"GO:0007584"	"response to nutrient"	"BP"	146	38	0.00127221789079842
"GO:0051310"	"metaphase plate congression"	"BP"	54	18	0.00131159321141603
"GO:0051239"	"regulation of multicellular organismal process"	"BP"	1976	363	0.00131700666387228
"GO:0048839"	"inner ear development"	"BP"	108	30	0.001327453934747
"GO:0009653"	"anatomical structure morphogenesis"	"BP"	1724	320	0.00135819995344739
"GO:0071312"	"cellular response to alkaloid"	"BP"	19	9	0.00136298782009971
"GO:0006516"	"glycoprotein catabolic process"	"BP"	19	9	0.00136298782009971
"GO:0009994"	"oocyte differentiation"	"BP"	34	13	0.00148031157141902
"GO:0006090"	"pyruvate metabolic process"	"BP"	128	34	0.00153926537234674
"GO:2000134"	"negative regulation of G1/S transition of mitotic cell cycle"	"BP"	95	27	0.00156612161254636
"GO:0009314"	"response to radiation"	"BP"	327	73	0.00158493463697367
"GO:0001525"	"angiogenesis"	"BP"	322	72	0.00162476055626557
"GO:0042592"	"homeostatic process"	"BP"	1257	239	0.00163323116709293
"GO:0051382"	"kinetochore assembly"	"BP"	16	8	0.00164185379918295
"GO:0051307"	"meiotic chromosome separation"	"BP"	16	8	0.00164185379918295
"GO:0003071"	"renal system process involved in regulation of systemic arterial blood pressure"	"BP"	16	8	0.00164185379918295
"GO:0006273"	"lagging strand elongation"	"BP"	7	5	0.00166169184536939
"GO:0007501"	"mesodermal cell fate specification"	"BP"	7	5	0.00166169184536939
"GO:0110110"	"positive regulation of animal organ morphogenesis"	"BP"	55	18	0.00166216642565326
"GO:0032200"	"telomere organization"	"BP"	148	38	0.001662560172657
"GO:0051052"	"regulation of DNA metabolic process"	"BP"	360	79	0.00173816325992675
"GO:0044773"	"mitotic DNA damage checkpoint"	"BP"	91	26	0.00174458559033241
"GO:0048871"	"multicellular organismal homeostasis"	"BP"	307	69	0.00174748502953714
"GO:0051303"	"establishment of chromosome localization"	"BP"	64	20	0.00178182426878951
"GO:0022405"	"hair cycle process"	"BP"	64	20	0.00178182426878951
"GO:0022404"	"molting cycle process"	"BP"	64	20	0.00178182426878951
"GO:0035239"	"tube morphogenesis"	"BP"	556	115	0.00178471471886403
"GO:0098868"	"bone growth"	"BP"	27	11	0.00186662555631586
"GO:0007281"	"germ cell development"	"BP"	144	37	0.00187254154858274
"GO:0002043"	"blood vessel endothelial cell proliferation involved in sprouting angiogenesis"	"BP"	13	7	0.00188266199455534
"GO:0009263"	"deoxyribonucleotide biosynthetic process"	"BP"	13	7	0.00188266199455534
"GO:0035295"	"tube development"	"BP"	685	138	0.0019243158578511
"GO:0008544"	"epidermis development"	"BP"	230	54	0.00195617431072203
"GO:0060600"	"dichotomous subdivision of an epithelial terminal unit"	"BP"	10	6	0.00196692884662936
"GO:1904031"	"positive regulation of cyclin-dependent protein kinase activity"	"BP"	31	12	0.00197581434009763
"GO:1900087"	"positive regulation of G1/S transition of mitotic cell cycle"	"BP"	31	12	0.00197581434009763
"GO:1902808"	"positive regulation of cell cycle G1/S phase transition"	"BP"	39	14	0.00199885528250253
"GO:0055081"	"anion homeostasis"	"BP"	35	13	0.00201396857925554
"GO:0065008"	"regulation of biological quality"	"BP"	2631	471	0.00202553647474326
"GO:0072359"	"circulatory system development"	"BP"	714	143	0.00203568098835224
"GO:0050000"	"chromosome localization"	"BP"	65	20	0.00219283052442708
"GO:0008610"	"lipid biosynthetic process"	"BP"	527	109	0.00232081005742259
"GO:0006282"	"regulation of DNA repair"	"BP"	107	29	0.00237717597006468
"GO:0051186"	"cofactor metabolic process"	"BP"	489	102	0.0023978757028021
"GO:2001020"	"regulation of response to DNA damage stimulus"	"BP"	186	45	0.00241356719922853
"GO:0032465"	"regulation of cytokinesis"	"BP"	70	21	0.00243562935548832
"GO:0006760"	"folic acid-containing compound metabolic process"	"BP"	24	10	0.0024521202639089
"GO:0034220"	"ion transmembrane transport"	"BP"	645	130	0.00252672428678382
"GO:0042866"	"pyruvate biosynthetic process"	"BP"	98	27	0.00256209377104239
"GO:0006820"	"anion transport"	"BP"	392	84	0.00258724195177116
"GO:0019985"	"translesion synthesis"	"BP"	40	14	0.0026283866127251
"GO:0045737"	"positive regulation of cyclin-dependent protein serine/threonine kinase activity"	"BP"	28	11	0.00263454075637885
"GO:0072358"	"cardiovascular system development"	"BP"	474	99	0.00264320155440347
"GO:0046653"	"tetrahydrofolate metabolic process"	"BP"	17	8	0.00266867206971508
"GO:0046463"	"acylglycerol biosynthetic process"	"BP"	32	12	0.00270637890146519
"GO:0046460"	"neutral lipid biosynthetic process"	"BP"	32	12	0.00270637890146519
"GO:0045137"	"development of primary sexual characteristics"	"BP"	137	35	0.00271060425131752
"GO:0006811"	"ion transport"	"BP"	952	184	0.0027129282355797
"GO:0048609"	"multicellular organismal reproductive process"	"BP"	480	100	0.00273556106498134
"GO:0006732"	"coenzyme metabolic process"	"BP"	334	73	0.0028327490267308
"GO:0072719"	"cellular response to cisplatin"	"BP"	5	4	0.00286852221534103
"GO:0033567"	"DNA replication, Okazaki fragment processing"	"BP"	5	4	0.00286852221534103
"GO:0016321"	"female meiosis chromosome segregation"	"BP"	5	4	0.00286852221534103
"GO:0044771"	"meiotic cell cycle phase transition"	"BP"	5	4	0.00286852221534103
"GO:1903589"	"positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis"	"BP"	5	4	0.00286852221534103
"GO:1901993"	"regulation of meiotic cell cycle phase transition"	"BP"	5	4	0.00286852221534103
"GO:0001942"	"hair follicle development"	"BP"	62	19	0.00294285503277233
"GO:0000281"	"mitotic cytokinesis"	"BP"	71	21	0.00294625003650834
"GO:0042472"	"inner ear morphogenesis"	"BP"	49	16	0.00302832617191693
"GO:0006639"	"acylglycerol metabolic process"	"BP"	85	24	0.00305077760639629
"GO:0006638"	"neutral lipid metabolic process"	"BP"	85	24	0.00305077760639629
"GO:0008406"	"gonad development"	"BP"	133	34	0.0030557128702815
"GO:0015718"	"monocarboxylic acid transport"	"BP"	104	28	0.0031053726064058
"GO:0006766"	"vitamin metabolic process"	"BP"	104	28	0.0031053726064058
"GO:0006629"	"lipid metabolic process"	"BP"	1018	195	0.00310573319973664
"GO:0001938"	"positive regulation of endothelial cell proliferation"	"BP"	58	18	0.00321956820114127
"GO:0006268"	"DNA unwinding involved in DNA replication"	"BP"	14	7	0.00324733963838269
"GO:0000395"	"mRNA 5'-splice site recognition"	"BP"	14	7	0.00324733963838269
