"Comparison"	"GeneID"	"SYMBOL"	"TXCHROM"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"PD_CR"	9839	"ZEB2"	"chr2"	-3.90555384881648	6.25114614893479	-7.04173989344342	2.14422689798358e-06	0.00131625746253952
"PD_CR"	1806	"DPYD"	"chr1"	-6.02551306990765	3.55323727081546	-7.04069012018363	2.14830553778094e-06	0.00131625746253952
"PD_CR"	29015	"SLC43A3"	"chr11"	-3.70609592722026	3.98445960955831	-7.01496333963935	2.25082734655235e-06	0.00132161079031732
"PD_CR"	54739	"XAF1"	"chr17"	-4.20011684494008	5.99608627901775	-6.90443750439333	2.75275188644262e-06	0.00147706339801485
"PD_CR"	284119	"CAVIN1"	"chr17"	-3.02266706160727	8.42831349217244	-6.9018621077267	2.76574919122814e-06	0.00147706339801485
"PD_CR"	11274	"USP18"	"chr22"	-2.57338807206374	3.47944329632885	-6.86254672018276	2.97228934429322e-06	0.00147706339801485
"PD_CR"	8777	"MPDZ"	"chr9"	-4.15763029725114	4.22692704481044	-6.86227204832366	2.97378747640132e-06	0.00147706339801485
"PD_CR"	114876	"OSBPL1A"	"chr18"	-3.20397607013736	5.05568480818222	-6.84749267363661	3.05556776887638e-06	0.00147706339801485
"PD_CR"	687	"KLF9"	"chr9"	-4.10314426907577	5.3842430506349	-6.82295971117389	3.19652389765801e-06	0.00147706339801485
"PD_CR"	9411	"ARHGAP29"	"chr1"	-3.40920009778514	4.75464447639855	-6.81406464206509	3.24928791785839e-06	0.00147706339801485
"PD_CR"	25802	"LMOD1"	"chr1"	-5.56629879190257	4.56790647983747	-6.74483267555537	3.69223064390648e-06	0.00162596606981032
"PD_CR"	8436	"CAVIN2"	"chr2"	-4.62966926627457	3.63949614288754	-6.70046193452571	4.00874667356821e-06	0.00171185630678555
"PD_CR"	7145	"TNS1"	"chr2"	-2.87459937282323	5.62775140629441	-6.66523659584069	4.28005389908639e-06	0.0017739564572331
"PD_CR"	4811	"NID1"	"chr1"	-3.2753535757476	5.40974427397847	-6.62288701344801	4.63168872193126e-06	0.00186485021341301
"PD_CR"	8863	"PER3"	"chr1"	-4.23728854950296	3.99712988570564	-6.59346933386906	4.89351868546514e-06	0.00191554070321041
"PD_CR"	171024	"SYNPO2"	"chr4"	-3.88503609403651	4.95445710207631	-6.5513712369997	5.29525217347549e-06	0.00191987905122924
"PD_CR"	6546	"SLC8A1"	"chr2"	-3.02557841864827	4.52380255266104	-6.53760962658045	5.43388679800207e-06	0.00191987905122924
"PD_CR"	3488	"IGFBP5"	"chr2"	-3.14418790151887	6.50600669549346	-6.5354446381192	5.45603777691245e-06	0.00191987905122924
"PD_CR"	80830	"APOL6"	"chr22"	-1.85664360954632	6.3805041830201	-6.52483217144965	5.56598334597052e-06	0.00191987905122924
"PD_CR"	6594	"SMARCA1"	"chrX"	-4.37090060610424	4.89932676617947	-6.51730495006405	5.64535866047377e-06	0.00191987905122924
"PD_CR"	2633	"GBP1"	"chr1"	-2.80165471159956	5.88998016046077	-6.51013730667702	5.72203520803493e-06	0.00191987905122924
"PD_CR"	4638	"MYLK"	"chr3"	-3.10242798867785	7.75436932540415	-6.46272955792905	6.25718924161273e-06	0.0019444659070512
"PD_CR"	1264	"CNN1"	"chr19"	-3.9336179111273	5.18549472628245	-6.46128607541173	6.27427638470355e-06	0.0019444659070512
"PD_CR"	27443	"CECR2"	"chr22"	-5.62607807303366	1.62409669611788	-6.45999845926494	6.2895593480845e-06	0.0019444659070512
"PD_CR"	348	"APOE"	"chr19"	-5.22558615433669	7.26542855363237	-6.44599240850794	6.45831831642241e-06	0.0019444659070512
"PD_CR"	27145	"FILIP1"	"chr6"	-4.28159500290058	3.49192420413828	-6.44379385240665	6.48523258809299e-06	0.0019444659070512
"PD_CR"	5187	"PER1"	"chr17"	-3.13459781252061	5.87830636009715	-6.417421598299	6.81730315143926e-06	0.00196593727276208
"PD_CR"	80014	"WWC2"	"chr4"	-3.67730154298152	4.81969198694181	-6.40747551555633	6.94708138565055e-06	0.00196593727276208
"PD_CR"	83641	"FAM107B"	"chr10"	-2.70290877636055	5.57343755794168	-6.39582524618603	7.10236296195625e-06	0.00196593727276208
"PD_CR"	2908	"NR3C1"	"chr5"	-4.03949259164922	5.82092749227374	-6.3948981362063	7.11487375183552e-06	0.00196593727276208
"PD_CR"	6482	"ST3GAL1"	"chr8"	-4.8807298818199	6.0974140346003	-6.30464510231681	8.4492336115735e-06	0.00219744728718687
"PD_CR"	51177	"PLEKHO1"	"chr1"	-2.74041799779147	5.84791092321666	-6.30010652900828	8.52283251856501e-06	0.00219744728718687
"PD_CR"	9936	"CD302"	"chr2"	-4.71311309575617	4.94994426504515	-6.29914669626345	8.53848246013261e-06	0.00219744728718687
"PD_CR"	84952	"CGNL1"	"chr15"	-4.44404218764384	5.10304187632089	-6.2863553673826	8.74991182819443e-06	0.00219744728718687
"PD_CR"	64359	"NXN"	"chr17"	-3.93997735161239	2.97591935023388	-6.28442053509606	8.78236255651511e-06	0.00219744728718687
"PD_CR"	23318	"TUT4"	"chr1"	-4.52825312532449	4.77823966992722	-6.27815298787556	8.88834057405985e-06	0.00219744728718687
"PD_CR"	152926	"PPM1K"	"chr4"	-4.68041074844645	3.87901340852419	-6.25501227257122	9.2912536234476e-06	0.00225745424244179
"PD_CR"	7106	"TSPAN4"	"chr11"	-3.98556669082979	4.59473760763943	-6.22541490181475	9.83435600858294e-06	0.00234318027996797
"PD_CR"	5563	"PRKAA2"	"chr1"	-4.7777343955776	2.84498683677254	-6.21794075766188	9.97664041996013e-06	0.00234318027996797
"PD_CR"	51466	"EVL"	"chr14"	-3.77706612429021	4.3230346263272	-6.19630484553798	1.04006744308005e-05	0.00238515549862344
"PD_CR"	151887	"CCDC80"	"chr3"	-3.09965994357654	7.99439940756769	-6.1696442746229	1.09490041410217e-05	0.00238515549862344
"PD_CR"	10979	"FERMT2"	"chr14"	-4.30352855626833	4.72126948833413	-6.16772754988609	1.09895622869758e-05	0.00238515549862344
"PD_CR"	6335	"SCN9A"	"chr2"	-4.68092510853866	2.27492743523131	-6.16753323755178	1.09936826434399e-05	0.00238515549862344
"PD_CR"	55553	"SOX6"	"chr11"	-5.44164400791393	3.91683088011776	-6.16426930510699	1.10631335052255e-05	0.00238515549862344
"PD_CR"	10875	"FGL2"	"chr7"	-3.44501554272415	6.01617631423924	-6.15924667605438	1.11708957500104e-05	0.00238515549862344
"PD_CR"	57473	"ZNF512B"	"chr20"	-4.48935929890063	3.23363096343748	-6.13538096328603	1.16980055053523e-05	0.00238680657896541
"PD_CR"	2054	"STX2"	"chr12"	-2.64579825926333	4.30218212131118	-6.13033112467267	1.18128042376932e-05	0.00238680657896541
"PD_CR"	84668	"FAM126A"	"chr7"	-2.71755238932451	3.33844062362868	-6.12270954680983	1.19882813770678e-05	0.00238680657896541
"PD_CR"	91624	"NEXN"	"chr1"	-3.67888869660066	5.29453225011578	-6.11956571680651	1.20614486859235e-05	0.00238680657896541
"PD_CR"	9467	"SH3BP5"	"chr3"	-3.18774451031165	4.0022283612714	-6.11206133715198	1.22379763718611e-05	0.00238680657896541
"PD_CR"	2533	"FYB1"	"chr5"	-3.84809949982445	6.09937333553869	-6.10792439370158	1.23364330959083e-05	0.00238680657896541
"PD_CR"	79658	"ARHGAP10"	"chr4"	-3.61602587813104	3.82546702436583	-6.10676216792943	1.23642407227132e-05	0.00238680657896541
"PD_CR"	3570	"IL6R"	"chr1"	-4.66584475469461	5.21857963625137	-6.09889177098242	1.25542658114547e-05	0.00239000083677074
"PD_CR"	7077	"TIMP2"	"chr17"	-3.34004862092901	7.08812650829857	-6.08710264919483	1.28445830389536e-05	0.00239000083677074
"PD_CR"	6608	"SMO"	"chr7"	-4.32518096367558	1.85274980451135	-6.07704793541786	1.30976805804546e-05	0.00239000083677074
"PD_CR"	10561	"IFI44"	"chr1"	-4.48835224223941	2.57488992151175	-6.06522481002319	1.3401912257895e-05	0.00239000083677074
"PD_CR"	120892	"LRRK2"	"chr12"	-4.774148641212	2.71620146181891	-6.05385832551852	1.37012960043926e-05	0.00239000083677074
"PD_CR"	51162	"EGFL7"	"chr9"	-4.03192818361435	2.40983869641805	-6.05169786615131	1.3758979494241e-05	0.00239000083677074
"PD_CR"	79901	"CYBRD1"	"chr2"	-4.22717058453371	3.1096934675911	-6.03700735759356	1.41579377125995e-05	0.00239000083677074
"PD_CR"	57664	"PLEKHA4"	"chr19"	-2.47441274832481	6.23650974053822	-6.02084920494069	1.4610612402091e-05	0.00239000083677074
"PD_CR"	220164	"DOK6"	"chr18"	-4.16844855586395	2.50222130684603	-6.01834092020306	1.46822147573734e-05	0.00239000083677074
"PD_CR"	23111	"SPART"	"chr13"	-3.67648803682004	4.32913041788423	-6.01713513462628	1.47167647043893e-05	0.00239000083677074
"PD_CR"	9135	"RABEP1"	"chr17"	-1.84686496715044	5.77038293491536	-6.01310659426221	1.48328079053026e-05	0.00239000083677074
"PD_CR"	4094	"MAF"	"chr16"	-3.53054078940273	5.12345997558423	-6.01155683359673	1.48777010725926e-05	0.00239000083677074
"PD_CR"	6095	"RORA"	"chr15"	-3.32203336694734	4.52652389344289	-6.01104256304699	1.48926294212351e-05	0.00239000083677074
"PD_CR"	2983	"GUCY1B1"	"chr4"	-3.27603595729866	3.17072804027983	-6.00941085735927	1.49400976213754e-05	0.00239000083677074
"PD_CR"	8942	"KYNU"	"chr2"	-4.83920831060657	1.95244731262829	-6.00570968126172	1.50483504718158e-05	0.00239000083677074
"PD_CR"	3554	"IL1R1"	"chr2"	-3.13956665285266	4.44728430214084	-6.0014477355974	1.51740111504665e-05	0.00239000083677074
"PD_CR"	1634	"DCN"	"chr12"	-4.62593709144276	6.42518102312202	-5.99841853954248	1.52639849069945e-05	0.00239000083677074
"PD_CR"	3672	"ITGA1"	"chr5"	-3.2566012333547	5.94878053030289	-5.98760144033391	1.55898080908388e-05	0.00239473351228657
"PD_CR"	5740	"PTGIS"	"chr20"	-2.86587760188538	3.7881929229354	-5.98614966117046	1.56340819706475e-05	0.00239473351228657
"PD_CR"	51088	"KLHL5"	"chr4"	-3.7229273969694	5.54019959614238	-5.95875419316583	1.64943846532195e-05	0.00245995655506224
"PD_CR"	90102	"PHLDB2"	"chr3"	-4.63468331581128	4.80055437000729	-5.95781336217728	1.65247852269001e-05	0.00245995655506224
"PD_CR"	684	"BST2"	"chr19"	-2.84695601517459	6.5301092416286	-5.95599872463042	1.65835844969424e-05	0.00245995655506224
"PD_CR"	9976	"CLEC2B"	"chr12"	-3.87098455495193	3.56989467570254	-5.9008034521473	1.84794577154567e-05	0.00265895250142106
"PD_CR"	7127	"TNFAIP2"	"chr14"	-4.53260270206065	5.63474979274982	-5.89679409923838	1.86256258554279e-05	0.00265895250142106
"PD_CR"	26040	"SETBP1"	"chr18"	-4.72936084831679	3.2645912296723	-5.89291222001257	1.87682861418464e-05	0.00265895250142106
"PD_CR"	257106	"ARHGAP30"	"chr1"	-3.97250122321781	5.20444828667901	-5.89246228945549	1.87848941505318e-05	0.00265895250142106
"PD_CR"	4478	"MSN"	"chrX"	-2.46430982958438	7.62606355273592	-5.88416113346629	1.90940515091886e-05	0.00265895250142106
"PD_CR"	2673	"GFPT1"	"chr2"	2.46706261134541	7.66937796039443	5.88337995997847	1.91234140883846e-05	0.00265895250142106
"PD_CR"	10681	"GNB5"	"chr15"	-3.43323025924375	5.21129168133529	-5.87359362903396	1.94952421223966e-05	0.00265895250142106
"PD_CR"	9590	"AKAP12"	"chr6"	-4.12043015380665	6.44598080356975	-5.87098255651779	1.95957066419853e-05	0.00265895250142106
"PD_CR"	6558	"SLC12A2"	"chr5"	2.80969294586799	8.94241765892918	5.87026871574129	1.96232656931444e-05	0.00265895250142106
"PD_CR"	3913	"LAMB2"	"chr3"	-2.75065249076227	4.20368621039222	-5.85447064502837	2.0243544031489e-05	0.00270195078233632
"PD_CR"	58528	"RRAGD"	"chr6"	-3.88554142394294	3.46390705660215	-5.85245650964845	2.03240691830578e-05	0.00270195078233632
"PD_CR"	154810	"AMOTL1"	"chr11"	-3.30285408257347	3.59801842770865	-5.8275309847983	2.13484457673306e-05	0.0028032028803577
"PD_CR"	23266	"ADGRL2"	"chr1"	-3.85471645655402	3.09061987168041	-5.81972918447173	2.16799323411213e-05	0.0028032028803577
"PD_CR"	55303	"GIMAP4"	"chr7"	-3.9514528033207	4.46223632734568	-5.81967035493888	2.16824520266101e-05	0.0028032028803577
"PD_CR"	6453	"ITSN1"	"chr21"	-2.45161721959317	6.10667103099308	-5.8069856440441	2.22328727521676e-05	0.00284823311657769
"PD_CR"	2950	"GSTP1"	"chr11"	2.02441603264866	10.2903666085279	5.79897869953827	2.25877295402815e-05	0.00286762418632114
"PD_CR"	2791	"GNG11"	"chr7"	-2.8803294737924	4.14353117056376	-5.78694921287211	2.31318985687577e-05	0.00291048852349047
"PD_CR"	3384	"ICAM2"	"chr17"	-3.09528205537468	3.82451970134179	-5.78222692174254	2.33492037095509e-05	0.00291183166969019
"PD_CR"	440253	"WHAMMP2"	"chr15"	-3.14495455870941	3.38170200217658	-5.76348958420717	2.4232438165205e-05	0.00296724081040956
"PD_CR"	8404	"SPARCL1"	"chr4"	-6.19931027220327	4.74317519783706	-5.76336457551507	2.42384453128026e-05	0.00296724081040956
"PD_CR"	3572	"IL6ST"	"chr5"	-2.58547773227198	6.02020061339252	-5.75949407081061	2.44252011075439e-05	0.00296724081040956
"PD_CR"	8322	"FZD4"	"chr11"	-3.51686015019917	2.83473716962346	-5.75231625674547	2.4775482409066e-05	0.00298406921460306
"PD_CR"	147372	"CCBE1"	"chr18"	-4.89422148668372	4.11398252630057	-5.7384601241672	2.54664219887734e-05	0.00301613285107109
"PD_CR"	857	"CAV1"	"chr7"	-3.83860798280868	4.55307945949036	-5.73826198797924	2.54764451698064e-05	0.00301613285107109
"PD_CR"	79649	"MAP7D3"	"chrX"	-2.31595931051253	4.45721557635523	-5.73418123603652	2.5683788115848e-05	0.00301613285107109
"PD_CR"	92689	"FAM114A1"	"chr4"	-1.97315140480311	6.42562888316851	-5.72567912687211	2.61213972508373e-05	0.00302185058425525
"PD_CR"	56898	"BDH2"	"chr4"	-3.05418523485282	3.36168150381801	-5.72491020626984	2.61613519215967e-05	0.00302185058425525
"PD_CR"	23240	"TMEM131L"	"chr4"	-4.34896638986763	3.41142470620138	-5.68570104599222	2.82847151819264e-05	0.00324055452311957
"PD_CR"	23371	"TNS2"	"chr12"	-3.75226906865973	4.43947940428418	-5.67879750074715	2.86766220844861e-05	0.00325895934205305
"PD_CR"	4213	"MEIS3P1"	"chr17"	-3.75170115900863	2.74085790923854	-5.66282660385041	2.96049051914979e-05	0.00333753859166871
"PD_CR"	51191	"HERC5"	"chr4"	-4.23994453294683	2.51769800767177	-5.65390752355424	3.01367558487932e-05	0.00337053304302535
"PD_CR"	84436	"ZNF528"	"chr19"	-3.97504780828767	1.63699584136602	-5.64570383477863	3.06346541323928e-05	0.00339924051995023
"PD_CR"	80833	"APOL3"	"chr22"	-3.32223385061065	4.14839626652515	-5.63074176710241	3.15647085315451e-05	0.00347507712989479
"PD_CR"	57679	"ALS2"	"chr2"	-2.51570991971337	3.72560418013388	-5.62255142100393	3.20861194538975e-05	0.00349179544933994
"PD_CR"	6129	"RPL7"	"chr8"	2.22699555938906	10.6026654211942	5.62059256599793	3.22121351415123e-05	0.00349179544933994
"PD_CR"	5745	"PTH1R"	"chr3"	-4.59084240414252	3.92135571109236	-5.61014348457866	3.28930180709154e-05	0.00353838481416289
"PD_CR"	8542	"APOL1"	"chr22"	-3.45057809212057	6.58283494324587	-5.59784446187372	3.37135081124451e-05	0.00357954654494338
"PD_CR"	10157	"AASS"	"chr7"	-5.67470476801692	4.71538036356966	-5.5944545312429	3.39433474349895e-05	0.00357954654494338
"PD_CR"	22881	"ANKRD6"	"chr6"	-4.07330339859664	1.9944549879797	-5.59306979510788	3.40376977733759e-05	0.00357954654494338
"PD_CR"	2771	"GNAI2"	"chr3"	-2.39429898837489	6.86916712794993	-5.58897187871236	3.43185013215698e-05	0.00358234311573008
"PD_CR"	4644	"MYO5A"	"chr15"	-3.47215505218351	4.66399743192001	-5.58512402046565	3.45843453736746e-05	0.00358354849268987
"PD_CR"	253827	"MSRB3"	"chr12"	-2.97966413879398	5.19749397316179	-5.56430500515584	3.60599989758182e-05	0.00368336653253481
"PD_CR"	6387	"CXCL12"	"chr10"	-4.03311122877743	4.85647299462296	-5.56416090830586	3.60704358139231e-05	0.00368336653253481
"PD_CR"	1293	"COL6A3"	"chr2"	-3.18421791194976	7.77766220070745	-5.55852231907719	3.64812904432358e-05	0.00368473477042195
"PD_CR"	10000	"AKT3"	"chr1"	-2.89340040663286	3.95178803914044	-5.55681302268899	3.66067888063492e-05	0.00368473477042195
"PD_CR"	1052	"CEBPD"	"chr8"	-2.17754664330481	5.74677085820741	-5.54857096417448	3.72182078427716e-05	0.0037087718058828
"PD_CR"	1890	"TYMP"	"chr22"	-3.03703085053236	4.21971683288139	-5.54652037797511	3.73719554666022e-05	0.0037087718058828
"PD_CR"	54504	"CPVL"	"chr7"	-4.16533222419711	4.43555458155174	-5.53839171769702	3.79878930457774e-05	0.00374353418742024
"PD_CR"	23446	"SLC44A1"	"chr9"	2.44124313801202	6.76674626366878	5.51296743719009	3.99828159470814e-05	0.00391276279393244
"PD_CR"	81704	"DOCK8"	"chr9"	-3.99418412705046	3.29645141304937	-5.50482774383481	4.0644073761625e-05	0.0039391882293828
"PD_CR"	64231	"MS4A6A"	"chr11"	-3.93459159702137	4.19824814767382	-5.50105639784664	4.09542639472883e-05	0.0039391882293828
"PD_CR"	25939	"SAMHD1"	"chr20"	-3.35144420870808	4.14672852925559	-5.49939788275884	4.10914469003173e-05	0.0039391882293828
"PD_CR"	54757	"FAM20A"	"chr17"	-4.48211193363481	2.73326607580109	-5.49336684635471	4.15943050563048e-05	0.00396045234360437
"PD_CR"	858	"CAV2"	"chr7"	-2.9669979039339	4.85414286145423	-5.48775957366471	4.20675198125056e-05	0.00397124879445895
"PD_CR"	118788	"PIK3AP1"	"chr10"	-2.94297449531006	3.35702497256494	-5.4853647775151	4.22713113233638e-05	0.00397124879445895
"PD_CR"	23362	"PSD3"	"chr8"	-3.26226365685843	4.22831887924456	-5.4777405318852	4.29269179808029e-05	0.00400613329924155
"PD_CR"	1000	"CDH2"	"chr18"	-3.42272607341529	5.49205724438787	-5.46429033236748	4.41091600187257e-05	0.00405853003804494
"PD_CR"	27018	"BEX3"	"chrX"	-3.45338153946256	5.9286273474257	-5.46371948765784	4.41600718423568e-05	0.00405853003804494
"PD_CR"	54877	"ZCCHC2"	"chr18"	-2.2165519331735	5.00819452042965	-5.46156943817259	4.43523719740932e-05	0.00405853003804494
"PD_CR"	84617	"TUBB6"	"chr18"	-2.63498499964852	5.30044872527643	-5.45664570286448	4.47960070128156e-05	0.00407265153001875
"PD_CR"	1831	"TSC22D3"	"chrX"	-3.55657811802384	6.91214524221646	-5.44963417027996	4.54356593563055e-05	0.00407265153001875
"PD_CR"	59345	"GNB4"	"chr3"	-2.94732109453984	5.26552990221786	-5.44952731083666	4.54454804571138e-05	0.00407265153001875
"PD_CR"	9962	"SLC23A2"	"chr20"	-3.76112525420825	3.1949849164184	-5.44077606457521	4.62572473358909e-05	0.00407265153001875
"PD_CR"	79686	NA	"chr14"	-4.1965713076503	1.54595996232274	-5.43693422967276	4.66183200321633e-05	0.00407265153001875
"PD_CR"	387119	"CEP85L"	"chr6"	-3.51496786503886	3.43833429669633	-5.43640736598707	4.66680628870891e-05	0.00407265153001875
"PD_CR"	65250	"CPLANE1"	"chr5"	-3.14316380950081	4.4348033930721	-5.43522294934615	4.67800870658185e-05	0.00407265153001875
"PD_CR"	9732	"DOCK4"	"chr7"	-3.33096299532697	3.97783054415347	-5.43481505679683	4.68187303337381e-05	0.00407265153001875
"PD_CR"	908	"CCT6A"	"chr7"	2.3010023954094	7.59210720611839	5.42624191125066	4.76385924501409e-05	0.00408899533562472
"PD_CR"	7035	"TFPI"	"chr2"	-4.09004986304478	6.15982157907854	-5.42469218184437	4.77883661431962e-05	0.00408899533562472
"PD_CR"	57683	"ZDBF2"	"chr2"	-3.90677325010094	2.85937122441674	-5.42367502428514	4.78869329180324e-05	0.00408899533562472
"PD_CR"	3646	"EIF3E"	"chr8"	1.90883594745943	8.18034087559286	5.41987091057463	4.82574268133482e-05	0.00408899533562472
"PD_CR"	6277	"S100A6"	"chr1"	2.37435373167356	10.5362210652298	5.41402483142921	4.88325573743536e-05	0.00408899533562472
"PD_CR"	8829	"NRP1"	"chr10"	-3.32365259110727	5.14773118468265	-5.41230907318952	4.90026879664326e-05	0.00408899533562472
"PD_CR"	51309	"ARMCX1"	"chrX"	-4.20129850228387	2.44228490822211	-5.4117711914082	4.9056148641002e-05	0.00408899533562472
"PD_CR"	10335	"MRVI1"	"chr11"	-3.58485642773831	4.5163119324703	-5.40572490399003	4.96612442704631e-05	0.00408899533562472
"PD_CR"	79974	"CPED1"	"chr7"	-4.04114362049857	3.09766964491003	-5.40480382701442	4.97540954047811e-05	0.00408899533562472
"PD_CR"	8835	"SOCS2"	"chr12"	-4.05259951564254	2.52620961144176	-5.40034506373944	5.02061041027278e-05	0.00408899533562472
"PD_CR"	1390	"CREM"	"chr10"	-2.07730600864849	4.03126813749279	-5.3991271298314	5.03303062579511e-05	0.00408899533562472
"PD_CR"	90634	"N4BP2L1"	"chr13"	-2.35401888148576	4.13866463576012	-5.3975794818933	5.04885884472538e-05	0.00408899533562472
"PD_CR"	7025	"NR2F1"	"chr5"	-5.26504940719348	4.94736615439693	-5.38573506375411	5.1717046282899e-05	0.00415651720919581
"PD_CR"	11262	"SP140"	"chr2"	-3.81463360432962	3.44827038739665	-5.38342954568087	5.19597216252421e-05	0.00415651720919581
"PD_CR"	284297	"SSC5D"	"chr19"	-4.34588833929701	2.28816049865755	-5.38108999633666	5.22071775495074e-05	0.00415651720919581
"PD_CR"	10082	"GPC6"	"chr13"	-3.18349423616067	3.71763432472288	-5.37675415514994	5.26689953253477e-05	0.0041629405719918
"PD_CR"	3955	"LFNG"	"chr7"	2.73469888500572	6.89818431034869	5.37479840031444	5.28786802715393e-05	0.0041629405719918
"PD_CR"	10124	"ARL4A"	"chr7"	2.33263507364486	6.02436995207955	5.36897984349581	5.35076086404263e-05	0.00418905122756048
"PD_CR"	56605	"ERO1B"	"chr1"	-4.39955649570233	3.84187588961512	-5.36251116621602	5.42158537002969e-05	0.00422104867593693
"PD_CR"	1240	"CMKLR1"	"chr12"	-4.44180860946346	4.50626643417144	-5.35735251357716	5.47875777036511e-05	0.00423040626318239
"PD_CR"	23301	"EHBP1"	"chr2"	-2.74987464325894	5.44564471861305	-5.35265135966287	5.53140015975564e-05	0.00423040626318239
"PD_CR"	642397	NA	NA	-3.02469500103005	2.97928685388795	-5.34674699159218	5.59825410954868e-05	0.00423040626318239
"PD_CR"	23466	"CBX6"	"chr22"	-2.88460104750846	4.64624033879414	-5.34614085464719	5.60516417293258e-05	0.00423040626318239
"PD_CR"	5763	"PTMS"	"chr12"	-3.1980699672823	8.15591910196475	-5.34609644916954	5.60567074778801e-05	0.00423040626318239
"PD_CR"	1646	"AKR1C2"	"chr10"	-4.20173335120865	5.60690674763712	-5.34338932181963	5.63664263654824e-05	0.00423040626318239
"PD_CR"	3059	"HCLS1"	"chr3"	-3.49167028815339	5.09564337349932	-5.34277079426959	5.64374380838979e-05	0.00423040626318239
"PD_CR"	7122	"CLDN5"	"chr22"	-3.32721197188565	3.85509317113832	-5.32337682208269	5.87113451636049e-05	0.00435624805187852
"PD_CR"	100507311	NA	NA	-6.25974588562168	2.96158687966391	-5.32318300588519	5.87345394448566e-05	0.00435624805187852
"PD_CR"	2982	"GUCY1A1"	"chr4"	-3.66583826169469	4.7707082850125	-5.31707993426322	5.94697458824507e-05	0.00437436938246767
"PD_CR"	29767	"TMOD2"	"chr15"	-3.59576391676384	3.04292054065961	-5.31316419478539	5.99464350398312e-05	0.00437436938246767
"PD_CR"	51422	"PRKAG2"	"chr7"	-3.11507970217283	3.95523694444007	-5.31086094881537	6.0228658805815e-05	0.00437436938246767
"PD_CR"	116496	"FAM129A"	"chr1"	-3.29694518137462	5.5442679105707	-5.30939010907368	6.04096000499437e-05	0.00437436938246767
"PD_CR"	29915	"HCFC2"	"chr12"	-2.40316463838977	3.7863693127175	-5.30765307827086	6.06240081602669e-05	0.00437436938246767
"PD_CR"	211	"ALAS1"	"chr3"	-2.72284040722052	4.04846945337547	-5.3058986631459	6.08413567246425e-05	0.00437436938246767
