"Term"	"Ont"	"N"	"DE"	"P.DE"
"GO:0030336"	"negative regulation of cell migration"	"BP"	211	67	2.0951905499258e-06
"GO:2000257"	"regulation of protein activation cascade"	"BP"	57	26	2.3484402593678e-06
"GO:1903037"	"regulation of leukocyte cell-cell adhesion"	"BP"	224	70	2.38007789468663e-06
"GO:1901700"	"response to oxygen-containing compound"	"BP"	1212	285	2.41172297621613e-06
"GO:0072657"	"protein localization to membrane"	"BP"	521	138	2.71361943898983e-06
"GO:0002673"	"regulation of acute inflammatory response"	"BP"	85	34	2.90239178541684e-06
"GO:0050808"	"synapse organization"	"BP"	267	80	2.96319032432566e-06
"GO:0002696"	"positive regulation of leukocyte activation"	"BP"	242	74	3.04463321915735e-06
"GO:0022603"	"regulation of anatomical structure morphogenesis"	"BP"	828	204	3.1638601584497e-06
"GO:0034097"	"response to cytokine"	"BP"	918	223	3.18227071514163e-06
"GO:0042327"	"positive regulation of phosphorylation"	"BP"	767	191	3.19039306722032e-06
"GO:0002250"	"adaptive immune response"	"BP"	319	92	3.34672600988584e-06
"GO:0097530"	"granulocyte migration"	"BP"	100	38	3.40511026524299e-06
"GO:0002694"	"regulation of leukocyte activation"	"BP"	389	108	3.45955940379596e-06
"GO:0007399"	"nervous system development"	"BP"	1625	368	3.67471509033895e-06
"GO:0043410"	"positive regulation of MAPK cascade"	"BP"	395	109	4.23399870827162e-06
"GO:0010959"	"regulation of metal ion transport"	"BP"	244	74	4.24670015479803e-06
"GO:0042692"	"muscle cell differentiation"	"BP"	261	78	4.36706348808351e-06
"GO:0010594"	"regulation of endothelial cell migration"	"BP"	135	47	4.43216042300247e-06
"GO:0050678"	"regulation of epithelial cell proliferation"	"BP"	257	77	4.52310070985276e-06
"GO:1902531"	"regulation of intracellular signal transduction"	"BP"	1505	343	4.57306290778318e-06
"GO:0008015"	"blood circulation"	"BP"	330	94	4.65918248657648e-06
"GO:0010647"	"positive regulation of cell communication"	"BP"	1373	316	4.79150678512036e-06
"GO:0007417"	"central nervous system development"	"BP"	669	169	4.89655927413931e-06
"GO:0072376"	"protein activation cascade"	"BP"	94	36	4.95544887451604e-06
"GO:0001934"	"positive regulation of protein phosphorylation"	"BP"	726	181	5.39162105674873e-06
"GO:0002920"	"regulation of humoral immune response"	"BP"	66	28	5.61232854803549e-06
"GO:0042110"	"T cell activation"	"BP"	349	98	5.76131666948964e-06
"GO:0098657"	"import into cell"	"BP"	657	166	5.8800906992303e-06
"GO:0072511"	"divalent inorganic cation transport"	"BP"	323	92	5.88059552327164e-06
"GO:0002064"	"epithelial cell development"	"BP"	160	53	6.07342277655544e-06
"GO:0051251"	"positive regulation of lymphocyte activation"	"BP"	213	66	6.27852129888372e-06
"GO:0042592"	"homeostatic process"	"BP"	1392	319	6.33821090500017e-06
"GO:0050673"	"epithelial cell proliferation"	"BP"	302	87	6.42977993235293e-06
"GO:1901342"	"regulation of vasculature development"	"BP"	255	76	6.43137939397533e-06
"GO:0009967"	"positive regulation of signal transduction"	"BP"	1270	294	6.52279115940031e-06
"GO:0002237"	"response to molecule of bacterial origin"	"BP"	247	74	6.90412915062666e-06
"GO:0045321"	"leukocyte activation"	"BP"	966	231	6.95030837351058e-06
"GO:0007517"	"muscle organ development"	"BP"	264	78	6.97046608769358e-06
"GO:0006936"	"muscle contraction"	"BP"	222	68	7.07700375250122e-06
"GO:0023056"	"positive regulation of signaling"	"BP"	1379	316	7.0905469132091e-06
"GO:0001817"	"regulation of cytokine production"	"BP"	530	138	7.16628981749587e-06
"GO:0071621"	"granulocyte chemotaxis"	"BP"	88	34	7.18759217908277e-06
"GO:0007267"	"cell-cell signaling"	"BP"	1064	251	7.95048915308774e-06
"GO:0048523"	"negative regulation of cellular process"	"BP"	3626	757	9.30171114102824e-06
"GO:0071674"	"mononuclear cell migration"	"BP"	64	27	9.31433393829351e-06
"GO:0001764"	"neuron migration"	"BP"	100	37	9.3571972128769e-06
"GO:0070838"	"divalent metal ion transport"	"BP"	318	90	9.76543058195867e-06
"GO:0031589"	"cell-substrate adhesion"	"BP"	292	84	9.78717160055601e-06
"GO:0040013"	"negative regulation of locomotion"	"BP"	262	77	9.83299059565399e-06
"GO:0002697"	"regulation of immune effector process"	"BP"	314	89	1.02477665347479e-05
"GO:0006811"	"ion transport"	"BP"	1059	249	1.11443587327359e-05
"GO:0002253"	"activation of immune response"	"BP"	521	135	1.17015892730778e-05
"GO:0022409"	"positive regulation of cell-cell adhesion"	"BP"	196	61	1.19258705621895e-05
"GO:0016043"	"cellular component organization"	"BP"	4996	1016	1.27984808528471e-05
"GO:0060840"	"artery development"	"BP"	72	29	1.30403072306725e-05
"GO:0043542"	"endothelial cell migration"	"BP"	176	56	1.3073481993051e-05
"GO:0045047"	"protein targeting to ER"	"BP"	109	39	1.35999920214588e-05
"GO:0010941"	"regulation of cell death"	"BP"	1301	298	1.38405722207483e-05
"GO:1990266"	"neutrophil migration"	"BP"	83	32	1.39329053174905e-05
"GO:0043269"	"regulation of ion transport"	"BP"	396	107	1.41697295222487e-05
"GO:0014070"	"response to organic cyclic compound"	"BP"	676	168	1.42882975651606e-05
"GO:0034765"	"regulation of ion transmembrane transport"	"BP"	269	78	1.47291267329341e-05
"GO:0034762"	"regulation of transmembrane transport"	"BP"	330	92	1.50509354008255e-05
"GO:0048771"	"tissue remodeling"	"BP"	125	43	1.56399531662289e-05
"GO:0034764"	"positive regulation of transmembrane transport"	"BP"	137	46	1.64492748845469e-05
"GO:0050920"	"regulation of chemotaxis"	"BP"	161	52	1.65193396914234e-05
"GO:0000956"	"nuclear-transcribed mRNA catabolic process"	"BP"	198	61	1.68930832345416e-05
"GO:0048589"	"developmental growth"	"BP"	488	127	1.69517351818138e-05
"GO:1904062"	"regulation of cation transmembrane transport"	"BP"	207	63	1.89186271873162e-05
"GO:0008037"	"cell recognition"	"BP"	103	37	2.02327058201608e-05
"GO:0048015"	"phosphatidylinositol-mediated signaling"	"BP"	142	47	2.04185796742127e-05
"GO:0050679"	"positive regulation of epithelial cell proliferation"	"BP"	142	47	2.04185796742127e-05
"GO:0060284"	"regulation of cell development"	"BP"	662	164	2.17642880415738e-05
"GO:1902533"	"positive regulation of intracellular signal transduction"	"BP"	804	194	2.20459512165244e-05
"GO:0030001"	"metal ion transport"	"BP"	537	137	2.31885805113342e-05
"GO:0006614"	"SRP-dependent cotranslational protein targeting to membrane"	"BP"	96	35	2.3330618735782e-05
"GO:0006911"	"phagocytosis, engulfment"	"BP"	53	23	2.43690700480368e-05
"GO:0006613"	"cotranslational protein targeting to membrane"	"BP"	100	36	2.46748888111453e-05
"GO:0014909"	"smooth muscle cell migration"	"BP"	60	25	2.55773898557677e-05
"GO:0007204"	"positive regulation of cytosolic calcium ion concentration"	"BP"	188	58	2.57491835246112e-05
"GO:0048699"	"generation of neurons"	"BP"	1037	242	2.58504193335811e-05
"GO:0000165"	"MAPK cascade"	"BP"	697	171	2.60235511258318e-05
"GO:0050790"	"regulation of catalytic activity"	"BP"	1839	404	2.61847295473594e-05
"GO:0023014"	"signal transduction by protein phosphorylation"	"BP"	707	173	2.72821085068945e-05
"GO:0022407"	"regulation of cell-cell adhesion"	"BP"	304	85	2.78855672051984e-05
"GO:0071345"	"cellular response to cytokine stimulus"	"BP"	850	203	2.79003178282174e-05
"GO:0001932"	"regulation of protein phosphorylation"	"BP"	1082	251	2.81725988153169e-05
"GO:0051050"	"positive regulation of transport"	"BP"	722	176	2.91987872415035e-05
"GO:0050794"	"regulation of cellular process"	"BP"	7479	1473	2.93935611150443e-05
"GO:0002687"	"positive regulation of leukocyte migration"	"BP"	97	35	3.008939195611e-05
"GO:0001936"	"regulation of endothelial cell proliferation"	"BP"	97	35	3.008939195611e-05
"GO:0050870"	"positive regulation of T cell activation"	"BP"	152	49	3.02427921762938e-05
"GO:0002526"	"acute inflammatory response"	"BP"	132	44	3.04594813732721e-05
"GO:0048017"	"inositol lipid-mediated signaling"	"BP"	144	47	3.06060395462008e-05
"GO:0045765"	"regulation of angiogenesis"	"BP"	227	67	3.12117544725543e-05
"GO:0030098"	"lymphocyte differentiation"	"BP"	270	77	3.14201337097345e-05
"GO:0060537"	"muscle tissue development"	"BP"	270	77	3.14201337097345e-05
"GO:0090171"	"chondrocyte morphogenesis"	"BP"	12	9	3.16730655173121e-05
"GO:0003414"	"chondrocyte morphogenesis involved in endochondral bone morphogenesis"	"BP"	12	9	3.16730655173121e-05
"GO:0003429"	"growth plate cartilage chondrocyte morphogenesis"	"BP"	12	9	3.16730655173121e-05
"GO:0060322"	"head development"	"BP"	550	139	3.3250370377553e-05
"GO:0001667"	"ameboidal-type cell migration"	"BP"	323	89	3.33462390712628e-05
"GO:0006812"	"cation transport"	"BP"	700	171	3.34951247903708e-05
"GO:0022008"	"neurogenesis"	"BP"	1109	256	3.3583664937746e-05
"GO:0003418"	"growth plate cartilage chondrocyte differentiation"	"BP"	17	11	3.44519890275263e-05
"GO:0014812"	"muscle cell migration"	"BP"	68	27	3.47717473631562e-05
"GO:0072599"	"establishment of protein localization to endoplasmic reticulum"	"BP"	113	39	3.50667683860584e-05
"GO:0006897"	"endocytosis"	"BP"	588	147	3.57469580687886e-05
"GO:0030239"	"myofibril assembly"	"BP"	44	20	3.62906012566966e-05
"GO:0002685"	"regulation of leukocyte migration"	"BP"	149	48	3.70020093294702e-05
"GO:0031325"	"positive regulation of cellular metabolic process"	"BP"	2542	541	3.72548865804361e-05
"GO:0051480"	"regulation of cytosolic calcium ion concentration"	"BP"	207	62	3.75217225723644e-05
"GO:0044093"	"positive regulation of molecular function"	"BP"	1422	319	3.99791221750316e-05
"GO:0006909"	"phagocytosis"	"BP"	233	68	4.05583862594795e-05
"GO:0048844"	"artery morphogenesis"	"BP"	51	22	4.07833515734005e-05
"GO:0042325"	"regulation of phosphorylation"	"BP"	1215	277	4.10739611281103e-05
"GO:0002688"	"regulation of leukocyte chemotaxis"	"BP"	87	32	4.20634527880335e-05
"GO:0030182"	"neuron differentiation"	"BP"	928	218	4.29309266046729e-05
"GO:0033993"	"response to lipid"	"BP"	670	164	4.33114791955237e-05
"GO:0032970"	"regulation of actin filament-based process"	"BP"	312	86	4.43028535263677e-05
"GO:0071840"	"cellular component organization or biogenesis"	"BP"	5176	1043	4.81196231470937e-05
"GO:0035747"	"natural killer cell chemotaxis"	"BP"	8	7	4.8935335128366e-05
"GO:0051174"	"regulation of phosphorus metabolic process"	"BP"	1371	308	4.91691649395628e-05
"GO:0001501"	"skeletal system development"	"BP"	371	99	5.00449757138047e-05
"GO:0003413"	"chondrocyte differentiation involved in endochondral bone morphogenesis"	"BP"	23	13	5.05165951445183e-05
"GO:0051249"	"regulation of lymphocyte activation"	"BP"	331	90	5.17386394911033e-05
"GO:0030593"	"neutrophil chemotaxis"	"BP"	73	28	5.2529136704443e-05
"GO:0051668"	"localization within membrane"	"BP"	107	37	5.25413191526345e-05
"GO:0048483"	"autonomic nervous system development"	"BP"	26	14	5.34553126478038e-05
"GO:0051216"	"cartilage development"	"BP"	147	47	5.48033117751592e-05
"GO:0055003"	"cardiac myofibril assembly"	"BP"	15	10	5.50035629656936e-05
"GO:0051493"	"regulation of cytoskeleton organization"	"BP"	445	115	5.78818088341864e-05
"GO:0019220"	"regulation of phosphate metabolic process"	"BP"	1369	307	5.84026251790345e-05
"GO:0009611"	"response to wounding"	"BP"	505	128	5.86674192331185e-05
"GO:0051049"	"regulation of transport"	"BP"	1280	289	5.87861102169911e-05
"GO:0055006"	"cardiac cell development"	"BP"	59	24	5.89383988585562e-05
"GO:0055074"	"calcium ion homeostasis"	"BP"	288	80	6.05699618375007e-05
"GO:0048598"	"embryonic morphogenesis"	"BP"	409	107	6.10685993066736e-05
"GO:0006959"	"humoral immune response"	"BP"	160	50	6.2641223608915e-05
"GO:0032496"	"response to lipopolysaccharide"	"BP"	236	68	6.2885505172816e-05
"GO:0051928"	"positive regulation of calcium ion transport"	"BP"	85	31	6.64508162889947e-05
"GO:0044057"	"regulation of system process"	"BP"	360	96	6.64861011060766e-05
"GO:0050807"	"regulation of synapse organization"	"BP"	144	46	6.70436464638772e-05
"GO:0061448"	"connective tissue development"	"BP"	198	59	6.71933696043772e-05
"GO:0034220"	"ion transmembrane transport"	"BP"	723	174	6.81222706998025e-05
"GO:0048812"	"neuron projection morphogenesis"	"BP"	465	119	6.82144453786056e-05
"GO:0031175"	"neuron projection development"	"BP"	704	170	6.83323556363931e-05
"GO:0051146"	"striated muscle cell differentiation"	"BP"	190	57	7.21060344926449e-05
"GO:0090130"	"tissue migration"	"BP"	246	70	7.60764578383475e-05
"GO:0071675"	"regulation of mononuclear cell migration"	"BP"	36	17	7.66414931862182e-05
"GO:0051056"	"regulation of small GTPase mediated signal transduction"	"BP"	290	80	7.81959983321608e-05
"GO:0097553"	"calcium ion transmembrane import into cytosol"	"BP"	101	35	7.87643144080835e-05
"GO:0071900"	"regulation of protein serine/threonine kinase activity"	"BP"	416	108	7.89806241620654e-05
"GO:0072091"	"regulation of stem cell proliferation"	"BP"	46	20	7.91341099204989e-05
"GO:0050803"	"regulation of synapse structure or activity"	"BP"	149	47	7.95501893431185e-05
"GO:0050853"	"B cell receptor signaling pathway"	"BP"	60	24	8.11790715270819e-05
"GO:0010632"	"regulation of epithelial cell migration"	"BP"	191	57	8.45828342603851e-05
"GO:0032957"	"inositol trisphosphate metabolic process"	"BP"	21	12	8.5874698432691e-05
"GO:0003422"	"growth plate cartilage morphogenesis"	"BP"	13	9	8.59748701259723e-05
"GO:0070633"	"transepithelial transport"	"BP"	13	9	8.59748701259723e-05
"GO:0007420"	"brain development"	"BP"	514	129	8.83582509945657e-05
"GO:0032958"	"inositol phosphate biosynthetic process"	"BP"	30	15	8.90831732839033e-05
"GO:0035904"	"aorta development"	"BP"	43	19	9.11464490261593e-05
"GO:0071219"	"cellular response to molecule of bacterial origin"	"BP"	158	49	9.13027732935491e-05
"GO:0010631"	"epithelial cell migration"	"BP"	243	69	9.15924024251387e-05
"GO:0051283"	"negative regulation of sequestering of calcium ion"	"BP"	94	33	9.34706868952317e-05
"GO:0001819"	"positive regulation of cytokine production"	"BP"	345	92	9.34859529754789e-05
"GO:0006810"	"transport"	"BP"	3842	787	9.5357783911558e-05
"GO:0034767"	"positive regulation of ion transmembrane transport"	"BP"	102	35	9.88794423827653e-05
"GO:0042981"	"regulation of apoptotic process"	"BP"	1190	269	9.92236306717424e-05
"GO:0051960"	"regulation of nervous system development"	"BP"	628	153	9.9471351059314e-05
"GO:0050863"	"regulation of T cell activation"	"BP"	235	67	0.000100658035199075
"GO:0048667"	"cell morphogenesis involved in neuron differentiation"	"BP"	423	109	0.000101297782660161
"GO:0043405"	"regulation of MAP kinase activity"	"BP"	270	75	0.000101437373387574
"GO:1901701"	"cellular response to oxygen-containing compound"	"BP"	858	201	0.000101581815811727
"GO:0055001"	"muscle cell development"	"BP"	122	40	0.000103522561936299
"GO:0030858"	"positive regulation of epithelial cell differentiation"	"BP"	40	18	0.000104062733057314
"GO:0007156"	"homophilic cell adhesion via plasma membrane adhesion molecules"	"BP"	83	30	0.000104657247477874
"GO:0090132"	"epithelium migration"	"BP"	244	69	0.00010504579028193
"GO:0008219"	"cell death"	"BP"	1675	366	0.000106735128111575
"GO:0051173"	"positive regulation of nitrogen compound metabolic process"	"BP"	2438	516	0.000108053591172062
"GO:2001257"	"regulation of cation channel activity"	"BP"	87	31	0.000109906961206077
"GO:0060041"	"retina development in camera-type eye"	"BP"	87	31	0.000109906961206077
"GO:0042113"	"B cell activation"	"BP"	197	58	0.000111200504897908
"GO:0043067"	"regulation of programmed cell death"	"BP"	1207	272	0.000113001270393112
"GO:0071222"	"cellular response to lipopolysaccharide"	"BP"	151	47	0.000114083844888493
"GO:0032412"	"regulation of ion transmembrane transporter activity"	"BP"	151	47	0.000114083844888493
"GO:0055013"	"cardiac muscle cell development"	"BP"	54	22	0.00011532983960878
"GO:0007409"	"axonogenesis"	"BP"	329	88	0.000117249560424594
"GO:0050767"	"regulation of neurogenesis"	"BP"	569	140	0.000120948925870438
"GO:1903169"	"regulation of calcium ion transmembrane transport"	"BP"	99	34	0.000121172354623907
"GO:0061564"	"axon development"	"BP"	361	95	0.000122816923065776
"GO:2001057"	"reactive nitrogen species metabolic process"	"BP"	65	25	0.000123550958546192
