"Treatment","Drug","X","VCFG_Compound_Plate_ID","Patient","WellID","Perc_FC","Bin","ZScore","Dose","Hit","Target","Pathway","VCFG_Plate_ID","compared.to","Mahalanobis","mp.value"
"AZD5363_5","AZD5363",3055,"D15","yP516_LT1","B11",92.999,"CV1",-0.678,"5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D15","DMSO_0uM",2.686,0.167
"AZD5438_0.5","AZD5438",1429,"D07","yP516_LT1","E09",84.605,"CV1",-1.8,"0.5","No","PLK1/CDK/c-myc/Rho","Cell cycle progression","D07","DMSO_0uM",2.157,0.165
"AZD5438_5","AZD5438",1321,"D07","yP516_LT1","B09",2.072,"LC",-10.671,"5","Yes","PLK1/CDK/c-myc/Rho","Cell cycle progression","D07","DMSO_0uM",144.89,0
"AZD6482_0.5","AZD6482",1015,"D05","yP516_LT1","F03",100,"CV1",0.489,"0.5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D05","DMSO_0uM",1.083,0.682
"AZD6482_5","AZD6482",907,"D05","yP516_LT1","C03",77.735,"CV2",-1.597,"5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D05","DMSO_0uM",2.586,0.174
"AZD6738_0.5","AZD6738",2923,"D14","yP516_LT1","E03",92.351,"CV1",-0.649,"0.5","No","ATM/ATR/DNA-PK/Chk","DNA Damage Response","D14","DMSO_0uM",1.734,0.322
"AZD6738_5","AZD6738",2815,"D14","yP516_LT1","B03",18.099,"LC",-6.139,"5","Yes","ATM/ATR/DNA-PK/Chk","DNA Damage Response","D14","DMSO_0uM",26.977,0
"AZD7762_0.5","AZD7762",1030,"D05","yP516_LT1","F08",87.832,"CV1",-0.922,"0.5","No","ATM/ATR/DNA-PK/Chk","DNA Damage Response","D05","DMSO_0uM",1.1,0.833
"AZD7762_5","AZD7762",922,"D05","yP516_LT1","C08",4.905,"LC",-6.463,"5","Yes","ATM/ATR/DNA-PK/Chk","DNA Damage Response","D05","DMSO_0uM",77.916,0
"AZD8055_0.5","AZD8055",1033,"D05","yP516_LT1","F09",90.578,"CV1",-0.739,"0.5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D05","DMSO_0uM",0.289,0.839
"AZD8055_5","AZD8055",925,"D05","yP516_LT1","C09",54.977,"CV2",-3.117,"5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D05","DMSO_0uM",4.888,0
"AZD8330_0.5","AZD8330",1204,"D06","yP516_LT1","E06",59.533,"CV2",-2.489,"0.5","No","MAPK/ERK","MAPK/ERK","D06","DMSO_0uM",20.166,0
"AZD8330_5","AZD8330",1096,"D06","yP516_LT1","B06",61.458,"CV2",-2.37,"5","No","MAPK/ERK","MAPK/ERK","D06","DMSO_0uM",7.459,0
"Barasertib (AZD1152-HQPA)_0.5","Barasertib (AZD1152-HQPA)",631,"D03","yP516_LT1","G07",100,"CV1",0.459,"0.5","No","AUK","Cell cycle progression","D03","DMSO_0uM",4.165,0
"Barasertib (AZD1152-HQPA)_5","Barasertib (AZD1152-HQPA)",523,"D03","yP516_LT1","D07",16.562,"LC",-3.016,"5","Yes","AUK","Cell cycle progression","D03","DMSO_0uM",27.114,0
"BAY 11-7082_0.5","BAY 11-7082",2152,"D10","yP516_LT1","G10",100,"CV1",0.161,"0.5","No","IKK","NFkB","D10","DMSO_0uM",0.208,1
"BAY 11-7082_5","BAY 11-7082",2044,"D10","yP516_LT1","D10",100,"CV1",0.32,"5","No","IKK","NFkB","D10","DMSO_0uM",1.5,0.486
"Bay 11-7085_0.5","Bay 11-7085",2791,"D13","yP516_LT1","G07",98.316,"CV1",-0.306,"0.5","No","IKK","NFkB","D13","DMSO_0uM",1.091,0.67
"Bay 11-7085_5","Bay 11-7085",2683,"D13","yP516_LT1","D07",100,"CV1",0.57,"5","No","IKK","NFkB","D13","DMSO_0uM",1.293,0.675
"BGT226 (NVP-BGT226)_0.5","BGT226 (NVP-BGT226)",1849,"D09","yP516_LT1","E05",55.696,"CV2",-3.715,"0.5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D09","DMSO_0uM",7.147,0
"BGT226 (NVP-BGT226)_5","BGT226 (NVP-BGT226)",1741,"D09","yP516_LT1","B05",-0.102,"LC",-8.41,"5","Yes","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D09","DMSO_0uM",135.157,0
"BI 2536_0.5","BI 2536",583,"D03","yP516_LT1","F03",7.602,"LC",-3.353,"0.5","Yes","PLK1/CDK/c-myc/Rho","Cell cycle progression","D03","DMSO_0uM",47.666,0
"BI 2536_5","BI 2536",475,"D03","yP516_LT1","C03",13.994,"LC",-3.113,"5","Yes","PLK1/CDK/c-myc/Rho","Cell cycle progression","D03","DMSO_0uM",33.789,0
"BI-78D3_0.5","BI-78D3",3391,"D16","yP516_LT1","F07",77.108,"CV2",-1.678,"0.5","No","JNK/p38 MAPK/CaMK","JNK/p38/MAPK","D16","DMSO_0uM",3.258,0.173
"BI-78D3_5","BI-78D3",3292,"D16","yP516_LT1","C07",94.395,"CV1",-0.537,"5","No","JNK/p38 MAPK/CaMK","JNK/p38/MAPK","D16","DMSO_0uM",1.45,0.69
"BI-D1870_0.5","BI-D1870",2101,"D10","yP516_LT1","F05",77.466,"CV2",-1.826,"0.5","No","RSK/SGK","PIK3/mTOR/AKT","D10","DMSO_0uM",1.512,0.499
"BI-D1870_5","BI-D1870",1993,"D10","yP516_LT1","C05",73.595,"CV2",-2.132,"5","No","RSK/SGK","PIK3/mTOR/AKT","D10","DMSO_0uM",2.078,0.143
"Bikinin_0.5","Bikinin",2977,"D14","yP516_LT1","F09",84.658,"CV1",-1.218,"0.5","No","GSK-3","Wnt","D14","DMSO_0uM",1.465,0.326
"Bikinin_5","Bikinin",2869,"D14","yP516_LT1","C09",99.322,"CV1",-0.134,"5","No","GSK-3","Wnt","D14","DMSO_0uM",1.54,0.329
"Binimetinib (MEK162_ ARRY-162_ ARRY-438162)_0.5","Binimetinib (MEK162_ ARRY-162_ ARRY-438162)",2287,"D11","yP516_LT1","E07",76.805,"CV2",-2.355,"0.5","No","MAPK/ERK","MAPK/ERK","D11","DMSO_0uM",2.564,0.161
"Binimetinib (MEK162_ ARRY-162_ ARRY-438162)_5","Binimetinib (MEK162_ ARRY-162_ ARRY-438162)",2179,"D11","yP516_LT1","B07",60.177,"CV2",-4.104,"5","No","MAPK/ERK","MAPK/ERK","D11","DMSO_0uM",8.137,0
"BIO_0.5","BIO",2581,"D12","yP516_LT1","G09",91.499,"CV1",-1.245,"0.5","No","GSK-3","Wnt","D12","DMSO_0uM",0.594,1
"BIO_5","BIO",2473,"D12","yP516_LT1","D09",76.603,"CV2",-3.115,"5","No","GSK-3","Wnt","D12","DMSO_0uM",1.78,0.514
"Bisindolylmaleimide I (GF109203X)_0.5","Bisindolylmaleimide I (GF109203X)",2548,"D12","yP516_LT1","F10",89.114,"CV1",-1.545,"0.5","No","PKA/PKC/TGF-Beta","TGFb Smad","D12","DMSO_0uM",2.058,0.3
"Bisindolylmaleimide I (GF109203X)_5","Bisindolylmaleimide I (GF109203X)",2440,"D12","yP516_LT1","C10",86.095,"CV1",-1.924,"5","No","PKA/PKC/TGF-Beta","TGFb Smad","D12","DMSO_0uM",3.594,0.169
"BIX 02188_0.5","BIX 02188",1063,"D05","yP516_LT1","G07",89.878,"CV1",-0.786,"0.5","No","MAPK/ERK","MAPK/ERK","D05","DMSO_0uM",1.541,0.347
"BIX 02188_5","BIX 02188",955,"D05","yP516_LT1","D07",97.308,"CV1",-0.289,"5","No","MAPK/ERK","MAPK/ERK","D05","DMSO_0uM",0.631,0.825
"BIX 02189_0.5","BIX 02189",994,"D05","yP516_LT1","E08",79.854,"CV2",-1.455,"0.5","No","MAPK/ERK","MAPK/ERK","D05","DMSO_0uM",1.732,0.504
"BIX 02189_5","BIX 02189",886,"D05","yP516_LT1","B08",86.003,"CV1",-1.044,"5","No","MAPK/ERK","MAPK/ERK","D05","DMSO_0uM",2.524,0.178
"BLZ945_0.5","BLZ945",3013,"D14","yP516_LT1","G09",98.306,"CV1",-0.209,"0.5","No","Miscellaneous","Miscellaneous","D14","DMSO_0uM",0.437,1
"BLZ945_5","BLZ945",2905,"D14","yP516_LT1","D09",93.905,"CV1",-0.534,"5","No","Miscellaneous","Miscellaneous","D14","DMSO_0uM",1.23,0.513
"BMS-265246_0.5","BMS-265246",1237,"D06","yP516_LT1","F05",91.166,"CV1",-0.532,"0.5","No","PLK1/CDK/c-myc/Rho","Cell cycle progression","D06","DMSO_0uM",1.617,0.511
"BMS-265246_5","BMS-265246",1129,"D06","yP516_LT1","C05",95.255,"CV1",-0.279,"5","No","PLK1/CDK/c-myc/Rho","Cell cycle progression","D06","DMSO_0uM",0.738,1
"BMS-345541_0.5","BMS-345541",3415,"D16","yP516_LT1","G04",83.094,"CV1",-1.283,"0.5","No","IKK","NFkB","D16","DMSO_0uM",0.715,0.675
"BMS-345541_5","BMS-345541",3316,"D16","yP516_LT1","D04",88.306,"CV1",-0.939,"5","No","IKK","NFkB","D16","DMSO_0uM",1.151,0.665
"BMS-582949_0.5","BMS-582949",3388,"D16","yP516_LT1","F06",98.841,"CV1",-0.244,"0.5","No","JNK/p38 MAPK/CaMK","JNK/p38/MAPK","D16","DMSO_0uM",0.733,0.68
"BMS-582949_5","BMS-582949",3289,"D16","yP516_LT1","C06",100,"CV1",0.155,"5","No","JNK/p38 MAPK/CaMK","JNK/p38/MAPK","D16","DMSO_0uM",0.597,0.651
"Bosutinib (SKI-606)_0.5","Bosutinib (SKI-606)",157,"D01","yP516_LT1","F05",96.896,"CV1",-0.887,"0.5","No","Src/Syk/FAK","Src/Syk/FAK","D01","DMSO_0uM",0.024,1
"Bosutinib (SKI-606)_5","Bosutinib (SKI-606)",49,"D01","yP516_LT1","C05",99.938,"CV1",-0.592,"5","No","Src/Syk/FAK","Src/Syk/FAK","D01","DMSO_0uM",0.841,0.529
"BS-181 HCl_0.5","BS-181 HCl",1075,"D05","yP516_LT1","G11",95.929,"CV1",-0.381,"0.5","No","PLK1/CDK/c-myc/Rho","Cell cycle progression","D05","DMSO_0uM",1.115,0.841
"BS-181 HCl_5","BS-181 HCl",967,"D05","yP516_LT1","D11",82.072,"CV1",-1.307,"5","No","PLK1/CDK/c-myc/Rho","Cell cycle progression","D05","DMSO_0uM",2.334,0.329
"Buparlisib (BKM120_ NVP-BKM120)_0.5","Buparlisib (BKM120_ NVP-BKM120)",1420,"D07","yP516_LT1","E06",91.928,"CV1",-1.013,"0.5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D07","DMSO_0uM",7.841,0
"Buparlisib (BKM120_ NVP-BKM120)_5","Buparlisib (BKM120_ NVP-BKM120)",1312,"D07","yP516_LT1","B06",11.992,"LC",-9.605,"5","Yes","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D07","DMSO_0uM",89.307,0
"BX-795_0.5","BX-795",847,"D04","yP516_LT1","G07",100,"CV1",0.635,"0.5","No","IKK","NFkB","D04","DMSO_0uM",1.098,0.495
"BX-795_5","BX-795",739,"D04","yP516_LT1","D07",77.183,"CV2",-1.957,"5","No","IKK","NFkB","D04","DMSO_0uM",4.475,0.169
"BX-912_0.5","BX-912",778,"D04","yP516_LT1","E08",100,"CV1",0.152,"0.5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D04","DMSO_0uM",2.162,0.334
"BX-912_5","BX-912",670,"D04","yP516_LT1","B08",41.525,"LC",-4.363,"5","Yes","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D04","DMSO_0uM",12.511,0
"CAY10505_0.5","CAY10505",1705,"D08","yP516_LT1","G05",100,"CV1",1.151,"0.5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D08","DMSO_0uM",4.88,0
"CAY10505_5","CAY10505",1597,"D08","yP516_LT1","D05",93.718,"CV1",-0.729,"5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D08","DMSO_0uM",1.595,0.511
"CC-223_0.5","CC-223",3217,"D15","yP516_LT1","G05",94.797,"CV1",-0.601,"0.5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D15","DMSO_0uM",4.161,0.147
"CC-223_5","CC-223",3109,"D15","yP516_LT1","D05",96.542,"CV1",-0.526,"5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D15","DMSO_0uM",2.455,0.158
"CC-292 (AVL-292)_0.5","CC-292 (AVL-292)",2506,"D12","yP516_LT1","E08",82.026,"CV1",-2.434,"0.5","No","Bcr-Abl/BTK","B Cell Receptor","D12","DMSO_0uM",3.353,0.145
"CC-292 (AVL-292)_5","CC-292 (AVL-292)",2398,"D12","yP516_LT1","B08",84.876,"CV1",-2.077,"5","No","Bcr-Abl/BTK","B Cell Receptor","D12","DMSO_0uM",2.283,0.165
"CCT128930_0.5","CCT128930",1435,"D07","yP516_LT1","E11",76.17,"CV2",-2.707,"0.5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D07","DMSO_0uM",2.195,0.158
"CCT128930_5","CCT128930",1327,"D07","yP516_LT1","B11",89.79,"CV1",-1.243,"5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D07","DMSO_0uM",1.839,0.498
"CEP-32496_0.5","CEP-32496",3232,"D15","yP516_LT1","G10",93.423,"CV1",-0.66,"0.5","No","Miscellaneous","Miscellaneous","D15","DMSO_0uM",0.662,0.834
"CEP-32496_5","CEP-32496",3124,"D15","yP516_LT1","D10",100,"CV1",-0.057,"5","No","Miscellaneous","Miscellaneous","D15","DMSO_0uM",0.882,0.674
"CEP-33779_0.5","CEP-33779",1936,"D09","yP516_LT1","G10",100,"HI",2.239,"0.5","No","JAK/STAT/Pim","JAK/STAT","D09","DMSO_0uM",1.331,0.647
"CEP-33779_5","CEP-33779",1828,"D09","yP516_LT1","D10",100,"HI",1.779,"5","No","JAK/STAT/Pim","JAK/STAT","D09","DMSO_0uM",3.337,0.186
"CGI1746_0.5","CGI1746",2296,"D11","yP516_LT1","E10",87.895,"CV1",-1.189,"0.5","No","Bcr-Abl/BTK","B Cell Receptor","D11","DMSO_0uM",1.62,0.501
"CGI1746_5","CGI1746",2188,"D11","yP516_LT1","B10",92.799,"CV1",-0.673,"5","No","Bcr-Abl/BTK","B Cell Receptor","D11","DMSO_0uM",1.141,0.846
"CGK 733_0.5","CGK 733",2536,"D12","yP516_LT1","F06",85.174,"CV1",-2.039,"0.5","No","ATM/ATR/DNA-PK/Chk","DNA Damage Response","D12","DMSO_0uM",2.357,0.173
"CGK 733_5","CGK 733",2428,"D12","yP516_LT1","C06",70.469,"CV2",-3.885,"5","No","ATM/ATR/DNA-PK/Chk","DNA Damage Response","D12","DMSO_0uM",3.706,0
"CH5132799_0.5","CH5132799",1678,"D08","yP516_LT1","F08",92.37,"CV1",-0.872,"0.5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D08","DMSO_0uM",0.838,1
