Drug,X,VCFG_Compound_Plate_ID,Patient,Treatment,WellID,Perc_FC,Bin,ZScore,Dose,Group_CTG,Pathway_original,Target_original,Target ,Pathway
GSK621,3040,D15,yPDB516_LT1,GSK621_5,B06,114.358,CV1,0.24,5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
GSK621,3041,D15,yPJF520_LT1,GSK621_5,B06,111.536,CV1,0.479,5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
HTH-01-015,2610,D13,yPMK295_LT,HTH-01-015_5,B06,58.96,CV2,-43.921,5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
HTH-01-015,2716,D13,yPDB516_LT1,HTH-01-015_0.5,E06,100.067,CV1,-0.178,0.5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
HTH-01-015,2608,D13,yPDB516_LT1,HTH-01-015_5,B06,99.19,CV1,-0.242,5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
HTH-01-015,2609,D13,yPJF520_LT1,HTH-01-015_5,B06,53.163,CV2,-3.13,5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
HTH-01-015,2718,D13,yPMK295_LT,HTH-01-015_0.5,E06,124.79,HI,36.854,0.5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
HTH-01-015,2717,D13,yPJF520_LT1,HTH-01-015_0.5,E06,99.569,CV1,0.353,0.5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
Phenformin HCl,1428,D07,yPMK295_LT,Phenformin HCl_0.5,E08,100.257,CV1,-0.221,0.5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
Phenformin HCl,1320,D07,yPMK295_LT,Phenformin HCl_5,B08,82.831,CV1,-2.259,5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
Phenformin HCl,1426,D07,yPDB516_LT1,Phenformin HCl_0.5,E08,75.945,CV2,-2.731,0.5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
Phenformin HCl,1319,D07,yPJF520_LT1,Phenformin HCl_5,B08,118.377,CV1,1.061,5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
Phenformin HCl,1318,D07,yPDB516_LT1,Phenformin HCl_5,B08,83.809,CV1,-1.886,5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
Phenformin HCl,1427,D07,yPJF520_LT1,Phenformin HCl_0.5,E08,59.19,CV2,-1.836,0.5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
WZ4003,2679,D13,yPMK295_LT,WZ4003_5,D05,65.2,CV2,-36.265,5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
WZ4003,2678,D13,yPJF520_LT1,WZ4003_5,D05,120.179,HI,1.899,5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
WZ4003,2785,D13,yPDB516_LT1,WZ4003_0.5,G05,98.155,CV1,-0.317,0.5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
WZ4003,2787,D13,yPMK295_LT,WZ4003_0.5,G05,100.86,CV1,7.49,0.5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
WZ4003,2677,D13,yPDB516_LT1,WZ4003_5,D05,98.499,CV1,-0.292,5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
WZ4003,2786,D13,yPJF520_LT1,WZ4003_0.5,G05,107.505,CV1,0.948,0.5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
GNE-0877,2650,D13,yPDB516_LT1,GNE-0877_5,C08,108.906,CV1,0.469,5,No hit,Autophagy,LRRK2,AMPK/LRRK2,DNA Damage Response Pathway
GNE-0877,2760,D13,yPMK295_LT,GNE-0877_0.5,F08,104.552,CV1,12.021,0.5,No hit,Autophagy,LRRK2,AMPK/LRRK2,DNA Damage Response Pathway
GNE-0877,2652,D13,yPMK295_LT,GNE-0877_5,C08,105.746,CV1,13.486,5,No hit,Autophagy,LRRK2,AMPK/LRRK2,DNA Damage Response Pathway
GNE-0877,2758,D13,yPDB516_LT1,GNE-0877_0.5,F08,94.389,CV1,-0.593,0.5,No hit,Autophagy,LRRK2,AMPK/LRRK2,DNA Damage Response Pathway
GNE-0877,2651,D13,yPJF520_LT1,GNE-0877_5,C08,161.827,HI,5.025,5,No hit,Autophagy,LRRK2,AMPK/LRRK2,DNA Damage Response Pathway
GNE-0877,2759,D13,yPJF520_LT1,GNE-0877_0.5,F08,111.093,CV1,1.217,0.5,No hit,Autophagy,LRRK2,AMPK/LRRK2,DNA Damage Response Pathway
GNE-7915,2820,D14,yPMK295_LT,GNE-7915_5,B04,77.115,CV2,-2.026,5,No hit,Autophagy,LRRK2,AMPK/LRRK2,DNA Damage Response Pathway
GNE-7915,2818,D14,yPDB516_LT1,GNE-7915_5,B04,99.962,CV1,-0.087,5,No hit,Autophagy,LRRK2,AMPK/LRRK2,DNA Damage Response Pathway
GNE-7915,2928,D14,yPMK295_LT,GNE-7915_0.5,E04,89.317,CV1,-0.78,0.5,No hit,Autophagy,LRRK2,AMPK/LRRK2,DNA Damage Response Pathway
GNE-7915,2926,D14,yPDB516_LT1,GNE-7915_0.5,E04,109.996,CV1,0.655,0.5,No hit,Autophagy,LRRK2,AMPK/LRRK2,DNA Damage Response Pathway
GNE-7915,2819,D14,yPJF520_LT1,GNE-7915_5,B04,95.329,CV1,-0.345,5,No hit,Autophagy,LRRK2,AMPK/LRRK2,DNA Damage Response Pathway
GNE-7915,2927,D14,yPJF520_LT1,GNE-7915_0.5,E04,93.836,CV1,-0.428,0.5,No hit,Autophagy,LRRK2,AMPK/LRRK2,DNA Damage Response Pathway
GNE-9605,2796,D13,yPMK295_LT,GNE-9605_0.5,G08,103.673,CV1,10.942,0.5,No hit,Autophagy,LRRK2,AMPK/LRRK2,DNA Damage Response Pathway
GNE-9605,2686,D13,yPDB516_LT1,GNE-9605_5,D08,103.093,CV1,0.044,5,No hit,Autophagy,LRRK2,AMPK/LRRK2,DNA Damage Response Pathway
GNE-9605,2688,D13,yPMK295_LT,GNE-9605_5,D08,100.382,CV1,6.904,5,No hit,Autophagy,LRRK2,AMPK/LRRK2,DNA Damage Response Pathway
GNE-9605,2795,D13,yPJF520_LT1,GNE-9605_0.5,G08,90.151,CV1,-0.354,0.5,No hit,Autophagy,LRRK2,AMPK/LRRK2,DNA Damage Response Pathway
GNE-9605,2687,D13,yPJF520_LT1,GNE-9605_5,D08,122.067,HI,2.041,5,No hit,Autophagy,LRRK2,AMPK/LRRK2,DNA Damage Response Pathway
GNE-9605,2794,D13,yPDB516_LT1,GNE-9605_0.5,G08,92.124,CV1,-0.758,0.5,No hit,Autophagy,LRRK2,AMPK/LRRK2,DNA Damage Response Pathway
GSK2578215A,2866,D14,yPDB516_LT1,GSK2578215A_5,C08,97.594,CV1,-0.262,5,No hit,Autophagy,LRRK2,AMPK/LRRK2,DNA Damage Response Pathway
GSK2578215A,2974,D14,yPDB516_LT1,GSK2578215A_0.5,F08,71.837,CV2,-2.166,0.5,No hit,Autophagy,LRRK2,AMPK/LRRK2,DNA Damage Response Pathway
GSK2578215A,2867,D14,yPJF520_LT1,GSK2578215A_5,C08,94.111,CV1,-0.413,5,No hit,Autophagy,LRRK2,AMPK/LRRK2,DNA Damage Response Pathway
GSK2578215A,2868,D14,yPMK295_LT,GSK2578215A_5,C08,104.172,CV1,0.736,5,No hit,Autophagy,LRRK2,AMPK/LRRK2,DNA Damage Response Pathway
GSK2578215A,2976,D14,yPMK295_LT,GSK2578215A_0.5,F08,101.152,CV1,0.427,0.5,No hit,Autophagy,LRRK2,AMPK/LRRK2,DNA Damage Response Pathway
GSK2578215A,2975,D14,yPJF520_LT1,GSK2578215A_0.5,F08,91.839,CV1,-0.54,0.5,No hit,Autophagy,LRRK2,AMPK/LRRK2,DNA Damage Response Pathway
URMC-099,2756,D13,yPJF520_LT1,URMC-099_0.5,F07,110.523,CV1,1.175,0.5,No hit,Others,LRRK2,AMPK/LRRK2,DNA Damage Response Pathway
URMC-099,2648,D13,yPJF520_LT1,URMC-099_5,C07,47.544,LC,-3.552,5,Hit,Others,LRRK2,AMPK/LRRK2,DNA Damage Response Pathway
URMC-099,2755,D13,yPDB516_LT1,URMC-099_0.5,F07,87.251,CV1,-1.115,0.5,No hit,Others,LRRK2,AMPK/LRRK2,DNA Damage Response Pathway
URMC-099,2757,D13,yPMK295_LT,URMC-099_0.5,F07,102.904,CV1,9.999,0.5,No hit,Others,LRRK2,AMPK/LRRK2,DNA Damage Response Pathway
URMC-099,2649,D13,yPMK295_LT,URMC-099_5,C07,42.745,LC,-63.818,5,Hit,Others,LRRK2,AMPK/LRRK2,DNA Damage Response Pathway
URMC-099,2647,D13,yPDB516_LT1,URMC-099_5,C07,88.844,CV1,-0.998,5,No hit,Others,LRRK2,AMPK/LRRK2,DNA Damage Response Pathway
AZ20,2366,D11,yPJF520_LT1,AZ20_0.5,G09,102.436,CV1,0.42,0.5,No hit,PI3K Akt mTOR,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
AZ20,2259,D11,yPMK295_LT,AZ20_5,D09,24.976,LC,-11.055,5,Hit,PI3K Akt mTOR,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
AZ20,2365,D11,yPDB516_LT1,AZ20_0.5,G09,92.909,CV1,-0.661,0.5,No hit,PI3K Akt mTOR,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
AZ20,2257,D11,yPDB516_LT1,AZ20_5,D09,35.726,LC,-6.676,5,Hit,PI3K Akt mTOR,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
AZ20,2367,D11,yPMK295_LT,AZ20_0.5,G09,98.54,CV1,-0.151,0.5,No hit,PI3K Akt mTOR,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
AZ20,2258,D11,yPJF520_LT1,AZ20_5,D09,10.833,LC,-6.144,5,Hit,PI3K Akt mTOR,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
AZD6738,2925,D14,yPMK295_LT,AZD6738_0.5,E03,133.59,HI,3.738,0.5,No hit,PI3K Akt mTOR,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
AZD6738,2815,D14,yPDB516_LT1,AZD6738_5,B03,18.099,LC,-6.139,5,Hit,PI3K Akt mTOR,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
AZD6738,2816,D14,yPJF520_LT1,AZD6738_5,B03,14.059,LC,-4.896,5,Hit,PI3K Akt mTOR,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
AZD6738,2817,D14,yPMK295_LT,AZD6738_5,B03,13.761,LC,-8.491,5,Hit,PI3K Akt mTOR,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
AZD6738,2924,D14,yPJF520_LT1,AZD6738_0.5,E03,80.6,CV1,-1.17,0.5,No hit,PI3K Akt mTOR,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
AZD6738,2923,D14,yPDB516_LT1,AZD6738_0.5,E03,92.351,CV1,-0.649,0.5,No hit,PI3K Akt mTOR,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
CGK 733,2430,D12,yPMK295_LT,CGK 733_5,C06,78.078,CV2,-5.793,5,No hit,DNA Damage,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
CGK 733,2536,D12,yPDB516_LT1,CGK 733_0.5,F06,85.174,CV1,-2.039,0.5,No hit,DNA Damage,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
CGK 733,2538,D12,yPMK295_LT,CGK 733_0.5,F06,103.058,CV1,-0.28,0.5,No hit,DNA Damage,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
CGK 733,2429,D12,yPJF520_LT1,CGK 733_5,C06,78.667,CV2,-1.286,5,No hit,DNA Damage,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
CGK 733,2537,D12,yPJF520_LT1,CGK 733_0.5,F06,96.438,CV1,0.155,0.5,No hit,DNA Damage,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
CGK 733,2428,D12,yPDB516_LT1,CGK 733_5,C06,70.469,CV2,-3.885,5,No hit,DNA Damage,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
KU-55933 (ATM Kinase Inhibitor),418,D02,yPDB516_LT1,KU-55933 (ATM Kinase Inhibitor)_0.5,G08,108.379,CV1,1.062,0.5,No hit,Others,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
KU-55933 (ATM Kinase Inhibitor),310,D02,yPDB516_LT1,KU-55933 (ATM Kinase Inhibitor)_5,D08,112.167,CV1,1.48,5,No hit,Others,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
KU-55933 (ATM Kinase Inhibitor),420,D02,yPMK295_LT,KU-55933 (ATM Kinase Inhibitor)_0.5,G08,115.065,CV1,1.616,0.5,No hit,Others,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
KU-55933 (ATM Kinase Inhibitor),311,D02,yPJF520_LT1,KU-55933 (ATM Kinase Inhibitor)_5,D08,123.045,HI,0.462,5,No hit,Others,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
KU-55933 (ATM Kinase Inhibitor),312,D02,yPMK295_LT,KU-55933 (ATM Kinase Inhibitor)_5,D08,97.892,CV1,-0.049,5,No hit,Others,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
KU-55933 (ATM Kinase Inhibitor),419,D02,yPJF520_LT1,KU-55933 (ATM Kinase Inhibitor)_0.5,G08,95.689,CV1,-0.302,0.5,No hit,Others,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
KU-60019,932,D05,yPJF520_LT1,KU-60019_5,C11,51.962,CV2,-1.733,5,No hit,DNA Damage,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
KU-60019,931,D05,yPDB516_LT1,KU-60019_5,C11,86.634,CV1,-1.002,5,No hit,DNA Damage,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
KU-60019,1039,D05,yPDB516_LT1,KU-60019_0.5,F11,83.918,CV1,-1.184,0.5,No hit,DNA Damage,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
KU-60019,1040,D05,yPJF520_LT1,KU-60019_0.5,F11,117.704,CV1,0.856,0.5,No hit,DNA Damage,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
KU-60019,1041,D05,yPMK295_LT,KU-60019_0.5,F11,124.806,HI,1.035,0.5,No hit,DNA Damage,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
KU-60019,933,D05,yPMK295_LT,KU-60019_5,C11,102.174,CV1,-0.102,5,No hit,DNA Damage,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
Schisandrin B (Sch B),2280,D11,yPMK295_LT,Schisandrin B (Sch B)_0.5,E04,98.59,CV1,-0.144,0.5,No hit,PI3K Akt mTOR,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
Schisandrin B (Sch B),2278,D11,yPDB516_LT1,Schisandrin B (Sch B)_0.5,E04,82.962,CV1,-1.708,0.5,No hit,PI3K Akt mTOR,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
Schisandrin B (Sch B),2279,D11,yPJF520_LT1,Schisandrin B (Sch B)_0.5,E04,91.284,CV1,-0.379,0.5,No hit,PI3K Akt mTOR,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
Schisandrin B (Sch B),2170,D11,yPDB516_LT1,Schisandrin B (Sch B)_5,B04,92.053,CV1,-0.751,5,No hit,PI3K Akt mTOR,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
Schisandrin B (Sch B),2172,D11,yPMK295_LT,Schisandrin B (Sch B)_5,B04,97.118,CV1,-0.362,5,No hit,PI3K Akt mTOR,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
Schisandrin B (Sch B),2171,D11,yPJF520_LT1,Schisandrin B (Sch B)_5,B04,74.321,CV2,-1.595,5,No hit,PI3K Akt mTOR,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
VE-821,3054,D15,yPMK295_LT,VE-821_5,B10,29.654,LC,-11.577,5,Hit,DNA Damage,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
VE-821,3162,D15,yPMK295_LT,VE-821_0.5,E10,106.546,CV1,1.096,0.5,No hit,DNA Damage,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
VE-821,3053,D15,yPJF520_LT1,VE-821_5,B10,28.232,LC,-2.879,5,Hit,DNA Damage,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
VE-821,3052,D15,yPDB516_LT1,VE-821_5,B10,92.531,CV1,-0.698,5,No hit,DNA Damage,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
VE-821,3160,D15,yPDB516_LT1,VE-821_0.5,E10,101.777,CV1,-0.301,0.5,No hit,DNA Damage,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
VE-821,3161,D15,yPJF520_LT1,VE-821_0.5,E10,81.265,CV1,-0.742,0.5,No hit,DNA Damage,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
VE-822,2532,D12,yPMK295_LT,VE-822_0.5,F04,93.321,CV1,-2.429,0.5,No hit,PI3K Akt mTOR,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
VE-822,2423,D12,yPJF520_LT1,VE-822_5,C04,8.293,LC,-6.992,5,Hit,PI3K Akt mTOR,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
VE-822,2422,D12,yPDB516_LT1,VE-822_5,C04,8.848,LC,-11.621,5,Hit,PI3K Akt mTOR,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
VE-822,2530,D12,yPDB516_LT1,VE-822_0.5,F04,76.231,CV2,-3.162,0.5,No hit,PI3K Akt mTOR,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
VE-822,2424,D12,yPMK295_LT,VE-822_5,C04,10.14,LC,-20.786,5,Hit,PI3K Akt mTOR,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
VE-822,2531,D12,yPJF520_LT1,VE-822_0.5,F04,93.649,CV1,-0.071,0.5,No hit,PI3K Akt mTOR,ATM ATR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
Chloroquine Phosphate,3368,D16,yPJF520_LT1,Chloroquine Phosphate_0.5,E10,106.551,CV1,0.386,0.5,No hit,PI3K Akt mTOR,ATM ATR Autophagy,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
Chloroquine Phosphate,3369,D16,yPMK295_LT,Chloroquine Phosphate_0.5,E10,128.459,HI,3.862,0.5,No hit,PI3K Akt mTOR,ATM ATR Autophagy,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
Chloroquine Phosphate,3269,D16,yPJF520_LT1,Chloroquine Phosphate_5,B10,67.47,CV2,-4.353,5,No hit,PI3K Akt mTOR,ATM ATR Autophagy,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
Chloroquine Phosphate,3270,D16,yPMK295_LT,Chloroquine Phosphate_5,B10,23.388,LC,-10.004,5,Hit,PI3K Akt mTOR,ATM ATR Autophagy,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
Chloroquine Phosphate,3367,D16,yPDB516_LT1,Chloroquine Phosphate_0.5,E10,97.037,CV1,-0.363,0.5,No hit,PI3K Akt mTOR,ATM ATR Autophagy,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
Chloroquine Phosphate,3268,D16,yPDB516_LT1,Chloroquine Phosphate_5,B10,92.544,CV1,-0.659,5,No hit,PI3K Akt mTOR,ATM ATR Autophagy,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
ETP-46464,3353,D16,yPJF520_LT1,ETP-46464_0.5,E05,118.642,CV1,1.853,0.5,No hit,PI3K Akt mTOR,ATM ATR mTOR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
ETP-46464,3354,D16,yPMK295_LT,ETP-46464_0.5,E05,117.138,CV1,2.368,0.5,No hit,PI3K Akt mTOR,ATM ATR mTOR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
ETP-46464,3253,D16,yPDB516_LT1,ETP-46464_5,B05,111.869,CV1,0.616,5,No hit,PI3K Akt mTOR,ATM ATR mTOR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
ETP-46464,3254,D16,yPJF520_LT1,ETP-46464_5,B05,50.624,CV2,-6.395,5,No hit,PI3K Akt mTOR,ATM ATR mTOR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
ETP-46464,3255,D16,yPMK295_LT,ETP-46464_5,B05,44.609,LC,-7.203,5,Hit,PI3K Akt mTOR,ATM ATR mTOR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
ETP-46464,3352,D16,yPDB516_LT1,ETP-46464_0.5,E05,84.729,CV1,-1.175,0.5,No hit,PI3K Akt mTOR,ATM ATR mTOR,ATM/ATR/DNA-PK/Chk,DNA Damage Response Pathway
